model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,Contrast,-31.5,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-31.5,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-31.5,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-31.5,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-31.5,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-31.5,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-31.5,-4.33568,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-31.5,-3.0,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-31.5,3.0,25,20,0.8,0.8,Top
gpt-5.2,Contrast,-31.5,4.33568,25,24,0.96,0.96,Top
gpt-5.2,Contrast,-31.5,5.91661,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-31.5,7.74279,25,24,0.96,0.96,Top
gpt-5.2,Contrast,-31.5,9.81421,25,24,0.96,0.96,Top
gpt-5.2,Contrast,-31.5,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-31.5,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-31.5,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-27.0,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-27.0,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-27.0,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-27.0,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-27.0,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-27.0,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-27.0,-4.33568,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-27.0,-3.0,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-27.0,3.0,25,2,0.08,0.08,Top
gpt-5.2,Contrast,-27.0,4.33568,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-27.0,5.91661,25,20,0.8,0.8,Top
gpt-5.2,Contrast,-27.0,7.74279,25,24,0.96,0.96,Top
gpt-5.2,Contrast,-27.0,9.81421,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-27.0,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-27.0,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-27.0,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-22.5,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-22.5,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-22.5,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-22.5,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-22.5,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-22.5,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-22.5,-4.33568,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-22.5,-3.0,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-22.5,3.0,25,23,0.92,0.92,Top
gpt-5.2,Contrast,-22.5,4.33568,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-22.5,5.91661,25,17,0.68,0.68,Top
gpt-5.2,Contrast,-22.5,7.74279,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-22.5,9.81421,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-22.5,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-22.5,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-22.5,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-18.0,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-18.0,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-18.0,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-18.0,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-18.0,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-18.0,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-18.0,-4.33568,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-18.0,-3.0,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-18.0,3.0,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-18.0,4.33568,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-18.0,5.91661,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-18.0,7.74279,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-18.0,9.81421,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-18.0,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-18.0,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-18.0,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-13.5,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-13.5,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-13.5,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-13.5,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-13.5,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-13.5,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-13.5,-4.33568,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-13.5,-3.0,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-13.5,3.0,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-13.5,4.33568,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-13.5,5.91661,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-13.5,7.74279,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-13.5,9.81421,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-13.5,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-13.5,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-13.5,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-9.0,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-9.0,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-9.0,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-9.0,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-9.0,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-9.0,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-9.0,-4.33568,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-9.0,-3.0,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-9.0,3.0,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-9.0,4.33568,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-9.0,5.91661,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-9.0,7.74279,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-9.0,9.81421,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-9.0,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-9.0,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-9.0,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-4.5,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-4.5,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-4.5,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-4.5,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-4.5,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-4.5,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-4.5,-4.33568,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-4.5,-3.0,25,0,0.0,1.0,Top
gpt-5.2,Contrast,-4.5,3.0,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-4.5,4.33568,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-4.5,5.91661,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-4.5,7.74279,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-4.5,9.81421,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-4.5,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-4.5,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,-4.5,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,0.0,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,0.0,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,0.0,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,0.0,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,0.0,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,0.0,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,0.0,-4.33568,25,0,0.0,1.0,Top
gpt-5.2,Contrast,0.0,-3.0,25,0,0.0,1.0,Top
gpt-5.2,Contrast,0.0,3.0,25,24,0.96,0.96,Top
gpt-5.2,Contrast,0.0,4.33568,25,25,1.0,1.0,Top
gpt-5.2,Contrast,0.0,5.91661,25,25,1.0,1.0,Top
gpt-5.2,Contrast,0.0,7.74279,25,25,1.0,1.0,Top
gpt-5.2,Contrast,0.0,9.81421,25,25,1.0,1.0,Top
gpt-5.2,Contrast,0.0,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,0.0,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,0.0,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,4.5,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,4.5,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,4.5,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,4.5,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,4.5,-7.74279,25,0,0.0,1.0,Top
gpt-5.2,Contrast,4.5,-5.91661,25,0,0.0,1.0,Top
gpt-5.2,Contrast,4.5,-4.33568,25,25,1.0,0.0,Top
gpt-5.2,Contrast,4.5,-3.0,25,20,0.8,0.2,Top
gpt-5.2,Contrast,4.5,3.0,25,8,0.32,0.32,Top
gpt-5.2,Contrast,4.5,4.33568,25,25,1.0,1.0,Top
gpt-5.2,Contrast,4.5,5.91661,25,25,1.0,1.0,Top
gpt-5.2,Contrast,4.5,7.74279,25,25,1.0,1.0,Top
gpt-5.2,Contrast,4.5,9.81421,25,25,1.0,1.0,Top
gpt-5.2,Contrast,4.5,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,4.5,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,4.5,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,9.0,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,9.0,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,9.0,-12.13089,25,0,0.0,1.0,Top
gpt-5.2,Contrast,9.0,-9.81421,25,0,0.0,1.0,Top
gpt-5.2,Contrast,9.0,-7.74279,25,1,0.04,0.96,Top
gpt-5.2,Contrast,9.0,-5.91661,25,25,1.0,0.0,Top
gpt-5.2,Contrast,9.0,-4.33568,25,13,0.52,0.48,Top
gpt-5.2,Contrast,9.0,-3.0,25,24,0.96,0.04,Top
gpt-5.2,Contrast,9.0,3.0,25,19,0.76,0.76,Top
gpt-5.2,Contrast,9.0,4.33568,25,18,0.72,0.72,Top
gpt-5.2,Contrast,9.0,5.91661,25,22,0.88,0.88,Top
gpt-5.2,Contrast,9.0,7.74279,25,23,0.92,0.92,Top
gpt-5.2,Contrast,9.0,9.81421,25,23,0.92,0.92,Top
gpt-5.2,Contrast,9.0,12.13089,25,25,1.0,1.0,Top
gpt-5.2,Contrast,9.0,14.69282,25,25,1.0,1.0,Top
gpt-5.2,Contrast,9.0,17.5,25,25,1.0,1.0,Top
gpt-5.2,Contrast,13.5,-17.5,25,0,0.0,1.0,Top
gpt-5.2,Contrast,13.5,-14.69282,25,0,0.0,1.0,Top
gpt-5.2,Contrast,13.5,-12.13089,25,2,0.08,0.92,Top
gpt-5.2,Contrast,13.5,-9.81421,25,22,0.88,0.12,Top
gpt-5.2,Contrast,13.5,-7.74279,25,8,0.32,0.68,Top
gpt-5.2,Contrast,13.5,-5.91661,25,3,0.12,0.88,Top
gpt-5.2,Contrast,13.5,-4.33568,25,17,0.68,0.32,Top
gpt-5.2,Contrast,13.5,-3.0,25,25,1.0,0.0,Top
gpt-5.2,Contrast,13.5,3.0,25,8,0.32,0.32,Top
gpt-5.2,Contrast,13.5,4.33568,25,1,0.04,0.04,Top
gpt-5.2,Contrast,13.5,5.91661,25,16,0.64,0.64,Top
