illusion_strength,true_diff,n_trials,n_positive,prop_positive
-31.5,-17.5,1,0,0.0
-31.5,-14.69282,1,0,0.0
-31.5,-12.13089,1,0,0.0
-31.5,-9.81421,1,0,0.0
-31.5,-7.74279,1,0,0.0
-31.5,-5.91661,1,0,0.0
-31.5,-4.33568,1,0,0.0
-31.5,-3.0,1,0,0.0
-31.5,3.0,1,1,1.0
-31.5,4.33568,1,1,1.0
-31.5,5.91661,1,1,1.0
-31.5,7.74279,1,0,0.0
-31.5,9.81421,1,0,0.0
-31.5,12.13089,1,1,1.0
-31.5,14.69282,1,1,1.0
-31.5,17.5,1,1,1.0
-27.0,-17.5,1,0,0.0
-27.0,-14.69282,1,0,0.0
-27.0,-12.13089,1,0,0.0
-27.0,-9.81421,1,0,0.0
-27.0,-7.74279,1,0,0.0
-27.0,-5.91661,1,0,0.0
-27.0,-4.33568,1,0,0.0
-27.0,-3.0,1,0,0.0
-27.0,3.0,1,0,0.0
-27.0,4.33568,1,1,1.0
-27.0,5.91661,1,0,0.0
-27.0,7.74279,1,0,0.0
-27.0,9.81421,1,1,1.0
-27.0,12.13089,1,1,1.0
-27.0,14.69282,1,1,1.0
-27.0,17.5,1,1,1.0
-22.5,-17.5,1,0,0.0
-22.5,-14.69282,1,0,0.0
-22.5,-12.13089,1,0,0.0
-22.5,-9.81421,1,0,0.0
-22.5,-7.74279,1,0,0.0
-22.5,-5.91661,1,0,0.0
-22.5,-4.33568,1,0,0.0
-22.5,-3.0,1,0,0.0
-22.5,3.0,1,1,1.0
-22.5,4.33568,1,1,1.0
-22.5,5.91661,1,1,1.0
-22.5,7.74279,1,1,1.0
-22.5,9.81421,1,1,1.0
-22.5,12.13089,1,1,1.0
-22.5,14.69282,1,1,1.0
-22.5,17.5,1,1,1.0
-18.0,-17.5,1,0,0.0
-18.0,-14.69282,1,0,0.0
-18.0,-12.13089,1,0,0.0
-18.0,-9.81421,1,0,0.0
-18.0,-7.74279,1,0,0.0
-18.0,-5.91661,1,0,0.0
-18.0,-4.33568,1,0,0.0
-18.0,-3.0,1,0,0.0
-18.0,3.0,1,1,1.0
-18.0,4.33568,1,1,1.0
-18.0,5.91661,1,1,1.0
-18.0,7.74279,1,1,1.0
-18.0,9.81421,1,1,1.0
-18.0,12.13089,1,1,1.0
-18.0,14.69282,1,1,1.0
-18.0,17.5,1,1,1.0
-13.5,-17.5,1,0,0.0
-13.5,-14.69282,1,0,0.0
-13.5,-12.13089,1,0,0.0
-13.5,-9.81421,1,0,0.0
-13.5,-7.74279,1,0,0.0
-13.5,-5.91661,1,0,0.0
-13.5,-4.33568,1,0,0.0
-13.5,-3.0,1,0,0.0
-13.5,3.0,1,1,1.0
-13.5,4.33568,1,1,1.0
-13.5,5.91661,1,1,1.0
-13.5,7.74279,1,1,1.0
-13.5,9.81421,1,1,1.0
-13.5,12.13089,1,1,1.0
-13.5,14.69282,1,1,1.0
-13.5,17.5,1,1,1.0
-9.0,-17.5,1,0,0.0
-9.0,-14.69282,1,0,0.0
-9.0,-12.13089,1,0,0.0
-9.0,-9.81421,1,0,0.0
-9.0,-7.74279,1,0,0.0
-9.0,-5.91661,1,0,0.0
-9.0,-4.33568,1,0,0.0
-9.0,-3.0,1,0,0.0
-9.0,3.0,1,1,1.0
-9.0,4.33568,1,1,1.0
-9.0,5.91661,1,1,1.0
-9.0,7.74279,1,1,1.0
-9.0,9.81421,1,1,1.0
-9.0,12.13089,1,1,1.0
-9.0,14.69282,1,1,1.0
-9.0,17.5,1,1,1.0
-4.5,-17.5,1,0,0.0
-4.5,-14.69282,1,0,0.0
-4.5,-12.13089,1,0,0.0
-4.5,-9.81421,1,0,0.0
-4.5,-7.74279,1,0,0.0
-4.5,-5.91661,1,0,0.0
-4.5,-4.33568,1,0,0.0
-4.5,-3.0,1,0,0.0
-4.5,3.0,1,1,1.0
-4.5,4.33568,1,1,1.0
-4.5,5.91661,1,1,1.0
-4.5,7.74279,1,1,1.0
-4.5,9.81421,1,1,1.0
-4.5,12.13089,1,1,1.0
-4.5,14.69282,1,1,1.0
-4.5,17.5,1,1,1.0
0.0,-17.5,1,0,0.0
0.0,-14.69282,1,0,0.0
0.0,-12.13089,1,0,0.0
0.0,-9.81421,1,0,0.0
0.0,-7.74279,1,0,0.0
0.0,-5.91661,1,0,0.0
0.0,-4.33568,1,0,0.0
0.0,-3.0,1,0,0.0
0.0,3.0,1,0,0.0
0.0,4.33568,1,1,1.0
0.0,5.91661,1,1,1.0
0.0,7.74279,1,1,1.0
0.0,9.81421,1,1,1.0
0.0,12.13089,1,1,1.0
0.0,14.69282,1,1,1.0
0.0,17.5,1,1,1.0
4.5,-17.5,1,0,0.0
4.5,-14.69282,1,0,0.0
4.5,-12.13089,1,0,0.0
4.5,-9.81421,1,0,0.0
4.5,-7.74279,1,0,0.0
4.5,-5.91661,1,0,0.0
4.5,-4.33568,1,1,1.0
4.5,-3.0,1,0,0.0
4.5,3.0,1,1,1.0
4.5,4.33568,1,1,1.0
4.5,5.91661,1,1,1.0
4.5,7.74279,1,1,1.0
4.5,9.81421,1,1,1.0
4.5,12.13089,1,1,1.0
4.5,14.69282,1,1,1.0
4.5,17.5,1,1,1.0
9.0,-17.5,1,0,0.0
9.0,-14.69282,1,0,0.0
9.0,-12.13089,1,0,0.0
9.0,-9.81421,1,0,0.0
9.0,-7.74279,1,0,0.0
9.0,-5.91661,1,1,1.0
9.0,-4.33568,1,1,1.0
9.0,-3.0,1,1,1.0
9.0,3.0,1,0,0.0
9.0,4.33568,1,1,1.0
9.0,5.91661,1,0,0.0
9.0,7.74279,1,1,1.0
9.0,9.81421,1,1,1.0
9.0,12.13089,1,1,1.0
9.0,14.69282,1,1,1.0
9.0,17.5,1,1,1.0
13.5,-17.5,1,0,0.0
13.5,-14.69282,1,0,0.0
13.5,-12.13089,1,0,0.0
13.5,-9.81421,1,1,1.0
13.5,-7.74279,1,1,1.0
13.5,-5.91661,1,1,1.0
13.5,-4.33568,1,1,1.0
13.5,-3.0,1,1,1.0
13.5,3.0,1,1,1.0
13.5,4.33568,1,1,1.0
13.5,5.91661,1,1,1.0
13.5,7.74279,1,1,1.0
13.5,9.81421,1,1,1.0
13.5,12.13089,1,1,1.0
13.5,14.69282,1,1,1.0
13.5,17.5,1,1,1.0
18.0,-17.5,1,0,0.0
18.0,-14.69282,1,1,1.0
18.0,-12.13089,1,0,0.0
18.0,-9.81421,1,0,0.0
18.0,-7.74279,1,0,0.0
18.0,-5.91661,1,0,0.0
18.0,-4.33568,1,0,0.0
18.0,-3.0,1,1,1.0
18.0,3.0,1,0,0.0
18.0,4.33568,1,1,1.0
18.0,5.91661,1,1,1.0
18.0,7.74279,1,1,1.0
18.0,9.81421,1,1,1.0
18.0,12.13089,1,1,1.0
18.0,14.69282,1,1,1.0
18.0,17.5,1,1,1.0
22.5,-17.5,1,0,0.0
22.5,-14.69282,1,0,0.0
22.5,-12.13089,1,1,1.0
22.5,-9.81421,1,0,0.0
22.5,-7.74279,1,0,0.0
22.5,-5.91661,1,1,1.0
22.5,-4.33568,1,1,1.0
22.5,-3.0,1,1,1.0
22.5,3.0,1,0,0.0
22.5,4.33568,1,0,0.0
22.5,5.91661,1,0,0.0
22.5,7.74279,1,1,1.0
22.5,9.81421,1,1,1.0
22.5,12.13089,1,1,1.0
22.5,14.69282,1,1,1.0
22.5,17.5,1,1,1.0
27.0,-17.5,1,1,1.0
27.0,-14.69282,1,1,1.0
27.0,-12.13089,1,0,0.0
27.0,-9.81421,1,0,0.0
27.0,-7.74279,1,1,1.0
27.0,-5.91661,1,0,0.0
27.0,-4.33568,1,0,0.0
27.0,-3.0,1,0,0.0
27.0,3.0,1,0,0.0
27.0,4.33568,1,1,1.0
27.0,5.91661,1,0,0.0
27.0,7.74279,1,0,0.0
27.0,9.81421,1,1,1.0
27.0,12.13089,1,0,0.0
27.0,14.69282,1,1,1.0
27.0,17.5,1,1,1.0
31.5,-17.5,1,0,0.0
31.5,-14.69282,1,0,0.0
31.5,-12.13089,1,0,0.0
31.5,-9.81421,1,0,0.0
31.5,-7.74279,1,0,0.0
31.5,-5.91661,1,0,0.0
31.5,-4.33568,1,0,0.0
31.5,-3.0,1,1,1.0
31.5,3.0,1,0,0.0
31.5,4.33568,1,0,0.0
31.5,5.91661,1,0,0.0
31.5,7.74279,1,0,0.0
31.5,9.81421,1,1,1.0
31.5,12.13089,1,1,1.0
31.5,14.69282,1,1,1.0
31.5,17.5,1,1,1.0
