model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,Delboeuf,-2.17,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,-0.32001,25,1,0.04,0.96,Left
gpt-5.2,Delboeuf,-2.17,-0.23378,25,6,0.24,0.76,Left
gpt-5.2,Delboeuf,-2.17,-0.16462,25,15,0.6,0.4,Left
gpt-5.2,Delboeuf,-2.17,-0.11066,25,17,0.68,0.32,Left
gpt-5.2,Delboeuf,-2.17,-0.07,25,19,0.76,0.24,Left
gpt-5.2,Delboeuf,-2.17,0.07,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,0.11066,25,18,0.72,0.72,Left
gpt-5.2,Delboeuf,-2.17,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-2.17,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,-0.23378,25,6,0.24,0.76,Left
gpt-5.2,Delboeuf,-1.86,-0.16462,25,11,0.44,0.56,Left
gpt-5.2,Delboeuf,-1.86,-0.11066,25,24,0.96,0.04,Left
gpt-5.2,Delboeuf,-1.86,-0.07,25,20,0.8,0.2,Left
gpt-5.2,Delboeuf,-1.86,0.07,25,3,0.12,0.12,Left
gpt-5.2,Delboeuf,-1.86,0.11066,25,24,0.96,0.96,Left
gpt-5.2,Delboeuf,-1.86,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.86,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,-0.23378,25,7,0.28,0.72,Left
gpt-5.2,Delboeuf,-1.55,-0.16462,25,12,0.48,0.52,Left
gpt-5.2,Delboeuf,-1.55,-0.11066,25,18,0.72,0.28,Left
gpt-5.2,Delboeuf,-1.55,-0.07,25,15,0.6,0.4,Left
gpt-5.2,Delboeuf,-1.55,0.07,25,5,0.2,0.2,Left
gpt-5.2,Delboeuf,-1.55,0.11066,25,17,0.68,0.68,Left
gpt-5.2,Delboeuf,-1.55,0.16462,25,18,0.72,0.72,Left
gpt-5.2,Delboeuf,-1.55,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.55,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-1.24,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-1.24,-0.55124,25,1,0.04,0.96,Left
