model,illusion,illusion_strength,n_points_used,PSE,PSE_SE,PSE_CI_low,PSE_CI_high,slope,slope_SE,sigma,sigma_SE,converged,fit_status,fit_R2,AIC,BIC,boundary_hit,monotonicity_warning,flat_curve_warning
gpt-5.2,Delboeuf,-2.17,16,-0.1497,0.0083,-0.166,-0.1334,3.163698,0.353752,0.1261,0.0141,True,,0.9875,719.563,721.109,False,False,False
gpt-5.2,Delboeuf,-1.86,16,-0.1323,0.0516,-0.2334,-0.0312,1.809262,0.644934,0.2205,0.0786,True,,0.7797,947.557,949.103,False,False,False
gpt-5.2,Delboeuf,-1.55,16,-0.0904,0.0457,-0.18,-0.0008,1.459189,0.37307,0.2734,0.0699,True,,0.8384,1101.315,1102.861,False,False,False
gpt-5.2,Delboeuf,-1.24,16,-0.0961,0.0664,-0.2262,0.034,1.233969,0.399237,0.3233,0.1046,True,,0.7261,1246.784,1248.329,False,False,False
gpt-5.2,Delboeuf,-0.93,16,0.2492,0.1806,-0.1048,0.6032,0.643975,0.353432,0.6195,0.34,True,,0.3017,1776.257,1777.802,False,False,False
gpt-5.2,Delboeuf,-0.62,16,0.3739,0.3182,-0.2498,0.9976,0.42874,0.312535,0.9305,0.6783,True,,0.1622,1911.613,1913.159,False,False,False
gpt-5.2,Delboeuf,-0.31,16,0.1993,0.2818,-0.353,0.7516,0.491914,0.386071,0.811,0.6365,True,,0.1579,1915.412,1916.957,False,False,False
gpt-5.2,Delboeuf,0.0,16,-0.0855,0.0,-0.0855,-0.0855,27.704325,0.0,0.0144,0.0,True,,1.0,118.582,120.128,False,False,False
gpt-5.2,Delboeuf,0.31,16,-0.0,0.001,-0.002,0.002,24.17832,0.293071,0.0165,0.0002,True,,1.0,4.004,5.55,False,False,False
gpt-5.2,Delboeuf,0.62,16,-0.0,0.001,-0.002,0.002,24.17832,0.293071,0.0165,0.0002,True,,1.0,4.004,5.55,False,False,False
gpt-5.2,Delboeuf,0.93,16,0.054,0.0002,0.0536,0.0544,41.12807,0.424001,0.0097,0.0001,True,,1.0,43.704,45.249,False,False,False
gpt-5.2,Delboeuf,1.24,16,0.0163,0.0002,0.0159,0.0167,9.544074,0.045665,0.0418,0.0002,True,,1.0,100.141,101.686,False,False,False
gpt-5.2,Delboeuf,1.55,16,-0.0276,0.0033,-0.0341,-0.0211,9.973557,0.723083,0.04,0.0029,True,,0.9999,113.603,115.148,False,False,False
gpt-5.2,Delboeuf,1.86,16,-0.0074,0.0002,-0.0078,-0.007,11.980249,0.035977,0.0333,0.0001,True,,1.0,42.381,43.926,False,False,False
gpt-5.2,Delboeuf,2.17,16,-0.0585,4.517,-8.9118,8.7948,37.284325,14569.45989,0.0107,4.1812,True,,0.9999,177.097,178.643,False,False,False
