illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-2.17,-0.1657,0.1171,0.0131,0.0215,True,
-1.86,-0.1313,0.2179,0.056,0.0854,True,
-1.55,-0.0572,0.2869,0.0477,0.0733,True,
-1.24,-0.0966,0.3672,0.0809,0.1312,True,
-0.93,0.2312,0.6244,0.1818,0.3466,True,
-0.62,0.34,1.0304,0.3577,0.844,True,
-0.31,0.1844,0.8303,0.2865,0.6635,True,
0.0,-0.1015,0.0052,0.0001,0.0,True,
0.31,-0.0,0.0165,0.001,0.0002,True,
0.62,-0.0,0.0165,0.001,0.0002,True,
0.93,-0.0,0.0165,0.001,0.0002,True,
1.24,0.001,0.0408,0.0031,0.0018,True,
1.55,-0.0138,0.0466,0.0015,0.0011,True,
1.86,-0.0,0.0399,0.0003,0.0002,True,
2.17,-0.062,0.008,0.0001,0.0001,True,
