illusion_strength,true_diff,n_trials,n_positive,prop_positive
-2.17,-0.7,1,0,0.0
-2.17,-0.55124,1,0,0.0
-2.17,-0.4252,1,0,0.0
-2.17,-0.32001,1,0,0.0
-2.17,-0.23378,1,0,0.0
-2.17,-0.16462,1,1,1.0
-2.17,-0.11066,1,0,0.0
-2.17,-0.07,1,1,1.0
-2.17,0.07,1,1,1.0
-2.17,0.11066,1,0,0.0
-2.17,0.16462,1,1,1.0
-2.17,0.23378,1,1,1.0
-2.17,0.32001,1,1,1.0
-2.17,0.4252,1,1,1.0
-2.17,0.55124,1,1,1.0
-2.17,0.7,1,1,1.0
-1.86,-0.7,1,0,0.0
-1.86,-0.55124,1,0,0.0
-1.86,-0.4252,1,0,0.0
-1.86,-0.32001,1,0,0.0
-1.86,-0.23378,1,1,1.0
-1.86,-0.16462,1,1,1.0
-1.86,-0.11066,1,1,1.0
-1.86,-0.07,1,1,1.0
-1.86,0.07,1,0,0.0
-1.86,0.11066,1,0,0.0
-1.86,0.16462,1,1,1.0
-1.86,0.23378,1,1,1.0
-1.86,0.32001,1,1,1.0
-1.86,0.4252,1,1,1.0
-1.86,0.55124,1,1,1.0
-1.86,0.7,1,1,1.0
-1.55,-0.7,1,0,0.0
-1.55,-0.55124,1,0,0.0
-1.55,-0.4252,1,0,0.0
-1.55,-0.32001,1,0,0.0
-1.55,-0.23378,1,0,0.0
-1.55,-0.16462,1,0,0.0
-1.55,-0.11066,1,0,0.0
-1.55,-0.07,1,1,1.0
-1.55,0.07,1,1,1.0
-1.55,0.11066,1,1,1.0
-1.55,0.16462,1,1,1.0
-1.55,0.23378,1,1,1.0
-1.55,0.32001,1,1,1.0
-1.55,0.4252,1,1,1.0
-1.55,0.55124,1,1,1.0
-1.55,0.7,1,1,1.0
-1.24,-0.7,1,0,0.0
-1.24,-0.55124,1,0,0.0
-1.24,-0.4252,1,0,0.0
-1.24,-0.32001,1,0,0.0
-1.24,-0.23378,1,0,0.0
-1.24,-0.16462,1,0,0.0
-1.24,-0.11066,1,0,0.0
-1.24,-0.07,1,0,0.0
-1.24,0.07,1,0,0.0
-1.24,0.11066,1,1,1.0
-1.24,0.16462,1,0,0.0
-1.24,0.23378,1,1,1.0
-1.24,0.32001,1,1,1.0
-1.24,0.4252,1,1,1.0
-1.24,0.55124,1,1,1.0
-1.24,0.7,1,1,1.0
-0.93,-0.7,1,0,0.0
-0.93,-0.55124,1,0,0.0
-0.93,-0.4252,1,0,0.0
-0.93,-0.32001,1,0,0.0
-0.93,-0.23378,1,1,1.0
-0.93,-0.16462,1,0,0.0
-0.93,-0.11066,1,1,1.0
-0.93,-0.07,1,1,1.0
-0.93,0.07,1,0,0.0
-0.93,0.11066,1,0,0.0
-0.93,0.16462,1,1,1.0
-0.93,0.23378,1,0,0.0
-0.93,0.32001,1,1,1.0
-0.93,0.4252,1,1,1.0
-0.93,0.55124,1,1,1.0
-0.93,0.7,1,1,1.0
-0.62,-0.7,1,0,0.0
-0.62,-0.55124,1,0,0.0
-0.62,-0.4252,1,0,0.0
-0.62,-0.32001,1,0,0.0
-0.62,-0.23378,1,1,1.0
-0.62,-0.16462,1,0,0.0
-0.62,-0.11066,1,0,0.0
-0.62,-0.07,1,1,1.0
-0.62,0.07,1,0,0.0
-0.62,0.11066,1,0,0.0
-0.62,0.16462,1,0,0.0
-0.62,0.23378,1,0,0.0
-0.62,0.32001,1,1,1.0
-0.62,0.4252,1,1,1.0
-0.62,0.55124,1,1,1.0
-0.62,0.7,1,1,1.0
-0.31,-0.7,1,0,0.0
-0.31,-0.55124,1,0,0.0
-0.31,-0.4252,1,0,0.0
-0.31,-0.32001,1,0,0.0
-0.31,-0.23378,1,0,0.0
-0.31,-0.16462,1,1,1.0
-0.31,-0.11066,1,1,1.0
-0.31,-0.07,1,1,1.0
-0.31,0.07,1,0,0.0
-0.31,0.11066,1,0,0.0
-0.31,0.16462,1,0,0.0
-0.31,0.23378,1,0,0.0
-0.31,0.32001,1,1,1.0
-0.31,0.4252,1,1,1.0
-0.31,0.55124,1,1,1.0
-0.31,0.7,1,1,1.0
0.0,-0.7,1,0,0.0
0.0,-0.55124,1,0,0.0
0.0,-0.4252,1,0,0.0
0.0,-0.32001,1,0,0.0
0.0,-0.23378,1,0,0.0
0.0,-0.16462,1,0,0.0
0.0,-0.11066,1,0,0.0
0.0,-0.07,1,1,1.0
0.0,0.07,1,1,1.0
0.0,0.11066,1,1,1.0
0.0,0.16462,1,1,1.0
0.0,0.23378,1,1,1.0
0.0,0.32001,1,1,1.0
0.0,0.4252,1,1,1.0
0.0,0.55124,1,1,1.0
0.0,0.7,1,1,1.0
0.31,-0.7,1,0,0.0
0.31,-0.55124,1,0,0.0
0.31,-0.4252,1,0,0.0
0.31,-0.32001,1,0,0.0
0.31,-0.23378,1,0,0.0
0.31,-0.16462,1,0,0.0
0.31,-0.11066,1,0,0.0
0.31,-0.07,1,0,0.0
0.31,0.07,1,1,1.0
0.31,0.11066,1,1,1.0
0.31,0.16462,1,1,1.0
0.31,0.23378,1,1,1.0
0.31,0.32001,1,1,1.0
0.31,0.4252,1,1,1.0
0.31,0.55124,1,1,1.0
0.31,0.7,1,1,1.0
0.62,-0.7,1,0,0.0
0.62,-0.55124,1,0,0.0
0.62,-0.4252,1,0,0.0
0.62,-0.32001,1,0,0.0
0.62,-0.23378,1,0,0.0
0.62,-0.16462,1,0,0.0
0.62,-0.11066,1,0,0.0
0.62,-0.07,1,0,0.0
0.62,0.07,1,1,1.0
0.62,0.11066,1,1,1.0
0.62,0.16462,1,1,1.0
0.62,0.23378,1,1,1.0
0.62,0.32001,1,1,1.0
0.62,0.4252,1,1,1.0
0.62,0.55124,1,1,1.0
0.62,0.7,1,1,1.0
0.93,-0.7,1,0,0.0
0.93,-0.55124,1,0,0.0
0.93,-0.4252,1,0,0.0
0.93,-0.32001,1,0,0.0
0.93,-0.23378,1,0,0.0
0.93,-0.16462,1,0,0.0
0.93,-0.11066,1,0,0.0
0.93,-0.07,1,0,0.0
0.93,0.07,1,1,1.0
0.93,0.11066,1,1,1.0
0.93,0.16462,1,1,1.0
0.93,0.23378,1,1,1.0
0.93,0.32001,1,1,1.0
0.93,0.4252,1,1,1.0
0.93,0.55124,1,1,1.0
0.93,0.7,1,1,1.0
1.24,-0.7,1,0,0.0
1.24,-0.55124,1,0,0.0
1.24,-0.4252,1,0,0.0
1.24,-0.32001,1,0,0.0
1.24,-0.23378,1,0,0.0
1.24,-0.16462,1,0,0.0
1.24,-0.11066,1,0,0.0
1.24,-0.07,1,1,1.0
1.24,0.07,1,1,1.0
1.24,0.11066,1,0,0.0
1.24,0.16462,1,1,1.0
1.24,0.23378,1,1,1.0
1.24,0.32001,1,1,1.0
1.24,0.4252,1,1,1.0
1.24,0.55124,1,1,1.0
1.24,0.7,1,1,1.0
1.55,-0.7,1,0,0.0
1.55,-0.55124,1,0,0.0
1.55,-0.4252,1,0,0.0
1.55,-0.32001,1,0,0.0
1.55,-0.23378,1,0,0.0
1.55,-0.16462,1,0,0.0
1.55,-0.11066,1,0,0.0
1.55,-0.07,1,0,0.0
1.55,0.07,1,1,1.0
1.55,0.11066,1,1,1.0
1.55,0.16462,1,1,1.0
