model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,DelboeufV12,-2.17,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,-0.23378,40,9,0.225,0.775,Left
gpt-5.2,DelboeufV12,-2.17,-0.16462,40,3,0.075,0.925,Left
gpt-5.2,DelboeufV12,-2.17,-0.11066,40,27,0.675,0.325,Left
gpt-5.2,DelboeufV12,-2.17,-0.07,40,40,1.0,0.0,Left
gpt-5.2,DelboeufV12,-2.17,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,0.11066,40,36,0.9,0.9,Left
gpt-5.2,DelboeufV12,-2.17,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-2.17,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,-0.23378,40,3,0.075,0.925,Left
gpt-5.2,DelboeufV12,-1.86,-0.16462,40,1,0.025,0.975,Left
gpt-5.2,DelboeufV12,-1.86,-0.11066,40,37,0.925,0.075,Left
gpt-5.2,DelboeufV12,-1.86,-0.07,40,40,1.0,0.0,Left
gpt-5.2,DelboeufV12,-1.86,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.86,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,-0.23378,40,9,0.225,0.775,Left
gpt-5.2,DelboeufV12,-1.55,-0.16462,40,12,0.3,0.7,Left
gpt-5.2,DelboeufV12,-1.55,-0.11066,40,18,0.45,0.55,Left
gpt-5.2,DelboeufV12,-1.55,-0.07,40,38,0.95,0.05,Left
gpt-5.2,DelboeufV12,-1.55,0.07,40,28,0.7,0.7,Left
gpt-5.2,DelboeufV12,-1.55,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.55,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-1.24,-0.7,40,0,0.0,1.0,Left
