model,illusion,illusion_strength,n_points_used,PSE,PSE_SE,PSE_CI_low,PSE_CI_high,slope,slope_SE,sigma,sigma_SE,converged,fit_status,fit_R2,AIC,BIC,boundary_hit,monotonicity_warning,flat_curve_warning
gpt-5.2,DelboeufV12,-2.17,16,-0.1236,0.0051,-0.1336,-0.1136,14.559937,3.719692,0.0274,0.007,True,,0.981,450.151,451.696,False,False,False
gpt-5.2,DelboeufV12,-1.86,16,-0.1335,0.0026,-0.1386,-0.1284,25.090709,2.682654,0.0159,0.0017,True,,0.9984,170.704,172.249,False,False,False
gpt-5.2,DelboeufV12,-1.55,16,-0.1303,0.0154,-0.1605,-0.1001,3.961691,1.066155,0.1007,0.0271,True,,0.9477,279.901,281.446,False,False,False
gpt-5.2,DelboeufV12,-1.24,16,-0.1598,0.0036,-0.1669,-0.1527,15.706389,6.30729,0.0254,0.0102,True,,0.988,579.578,581.123,False,False,False
gpt-5.2,DelboeufV12,-0.93,16,-0.083,0.0583,-0.1973,0.0313,1.831691,0.724098,0.2178,0.0861,True,,0.7402,366.317,367.862,False,False,False
gpt-5.2,DelboeufV12,-0.62,16,-0.1264,0.0024,-0.1311,-0.1217,10.695503,0.888902,0.0373,0.0031,True,,0.9965,137.278,138.823,False,False,False
gpt-5.2,DelboeufV12,-0.31,16,-0.243,0.005,-0.2528,-0.2332,6.926081,0.86576,0.0576,0.0072,True,,0.9923,215.451,216.996,False,False,False
gpt-5.2,DelboeufV12,0.0,16,-0.198,0.0017,-0.2013,-0.1947,8.416504,0.390639,0.0474,0.0022,True,,0.9988,127.476,129.021,False,False,False
gpt-5.2,DelboeufV12,0.31,16,0.0,0.001,-0.002,0.002,24.17832,0.293071,0.0165,0.0002,True,,1.0,4.002,5.547,False,False,False
gpt-5.2,DelboeufV12,0.62,16,-0.0592,8.0555,-15.848,15.7296,34.391576,25554.423287,0.0116,8.6193,True,,0.9892,409.512,411.058,False,False,False
gpt-5.2,DelboeufV12,0.93,16,-0.0767,0.0001,-0.0769,-0.0765,61.375735,0.944242,0.0065,0.0001,True,,1.0,37.817,39.362,False,False,False
gpt-5.2,DelboeufV12,1.24,16,-0.0642,0.0,-0.0642,-0.0642,52.492405,0.69069,0.0076,0.0001,True,,1.0,46.654,48.2,False,False,False
gpt-5.2,DelboeufV12,1.55,16,-0.0991,6.014,-11.8865,11.6883,67.617336,35165.59877,0.0059,3.0684,True,,0.9998,59.404,60.949,False,False,False
gpt-5.2,DelboeufV12,1.86,16,-0.017,0.0106,-0.0378,0.0038,10.229289,1.940942,0.039,0.0074,True,,0.9981,128.376,129.922,False,False,False
gpt-5.2,DelboeufV12,2.17,16,-0.0635,0.0001,-0.0637,-0.0633,51.146446,0.655724,0.0078,0.0001,True,,1.0,44.034,45.579,False,False,False
