illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-2.17,-0.1236,0.0274,0.0051,0.007,True,
-1.86,-0.1335,0.0159,0.0026,0.0017,True,
-1.55,-0.1303,0.1007,0.0154,0.0271,True,
-1.24,-0.1598,0.0254,0.0036,0.0102,True,
-0.93,-0.083,0.2178,0.0583,0.0861,True,
-0.62,-0.1264,0.0373,0.0024,0.0031,True,
-0.31,-0.243,0.0576,0.005,0.0072,True,
0.0,-0.198,0.0474,0.0017,0.0022,True,
0.31,0.0,0.0165,0.001,0.0002,True,
0.62,-0.0592,0.0116,8.0555,8.6193,True,
0.93,-0.0767,0.0065,0.0001,0.0001,True,
1.24,-0.0642,0.0076,0.0,0.0001,True,
1.55,-0.0991,0.0059,6.014,3.0684,True,
1.86,-0.017,0.039,0.0106,0.0074,True,
2.17,-0.0635,0.0078,0.0001,0.0001,True,
