illusion_strength,true_diff,n_trials,n_positive,prop_positive
-2.17,-0.7,40,0,0.0
-2.17,-0.55124,40,0,0.0
-2.17,-0.4252,40,0,0.0
-2.17,-0.32001,40,0,0.0
-2.17,-0.23378,40,9,0.225
-2.17,-0.16462,40,3,0.075
-2.17,-0.11066,40,27,0.675
-2.17,-0.07,40,40,1.0
-2.17,0.07,40,40,1.0
-2.17,0.11066,40,36,0.9
-2.17,0.16462,40,40,1.0
-2.17,0.23378,40,40,1.0
-2.17,0.32001,40,40,1.0
-2.17,0.4252,40,40,1.0
-2.17,0.55124,40,40,1.0
-2.17,0.7,40,40,1.0
-1.86,-0.7,40,0,0.0
-1.86,-0.55124,40,0,0.0
-1.86,-0.4252,40,0,0.0
-1.86,-0.32001,40,0,0.0
-1.86,-0.23378,40,3,0.075
-1.86,-0.16462,40,1,0.025
-1.86,-0.11066,40,37,0.925
-1.86,-0.07,40,40,1.0
-1.86,0.07,40,40,1.0
-1.86,0.11066,40,40,1.0
-1.86,0.16462,40,40,1.0
-1.86,0.23378,40,40,1.0
-1.86,0.32001,40,40,1.0
-1.86,0.4252,40,40,1.0
-1.86,0.55124,40,40,1.0
-1.86,0.7,40,40,1.0
-1.55,-0.7,40,0,0.0
-1.55,-0.55124,40,0,0.0
-1.55,-0.4252,40,0,0.0
-1.55,-0.32001,40,0,0.0
-1.55,-0.23378,40,9,0.225
-1.55,-0.16462,40,12,0.3
-1.55,-0.11066,40,18,0.45
-1.55,-0.07,40,38,0.95
-1.55,0.07,40,28,0.7
-1.55,0.11066,40,40,1.0
-1.55,0.16462,40,40,1.0
-1.55,0.23378,40,40,1.0
-1.55,0.32001,40,40,1.0
-1.55,0.4252,40,40,1.0
-1.55,0.55124,40,40,1.0
-1.55,0.7,40,40,1.0
-1.24,-0.7,40,0,0.0
-1.24,-0.55124,40,0,0.0
-1.24,-0.4252,40,0,0.0
-1.24,-0.32001,40,0,0.0
-1.24,-0.23378,40,0,0.0
-1.24,-0.16462,40,17,0.425
-1.24,-0.11066,40,39,0.975
-1.24,-0.07,40,37,0.925
-1.24,0.07,40,34,0.85
-1.24,0.11066,40,36,0.9
-1.24,0.16462,40,40,1.0
-1.24,0.23378,40,40,1.0
-1.24,0.32001,40,40,1.0
-1.24,0.4252,40,40,1.0
-1.24,0.55124,40,40,1.0
-1.24,0.7,40,40,1.0
-0.93,-0.7,40,0,0.0
-0.93,-0.55124,40,0,0.0
-0.93,-0.4252,40,0,0.0
-0.93,-0.32001,40,0,0.0
-0.93,-0.23378,40,0,0.0
-0.93,-0.16462,40,19,0.475
