model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,Ebbinghaus,-2.03,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,-0.4252,25,1,0.04,0.96,Left
gpt-5.2,Ebbinghaus,-2.03,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,-0.23378,25,7,0.28,0.72,Left
gpt-5.2,Ebbinghaus,-2.03,-0.16462,25,6,0.24,0.76,Left
gpt-5.2,Ebbinghaus,-2.03,-0.11066,25,2,0.08,0.92,Left
gpt-5.2,Ebbinghaus,-2.03,-0.07,25,18,0.72,0.28,Left
gpt-5.2,Ebbinghaus,-2.03,0.07,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,0.11066,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-2.03,0.7,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,-0.23378,25,8,0.32,0.68,Left
gpt-5.2,Ebbinghaus,-1.74,-0.16462,25,5,0.2,0.8,Left
gpt-5.2,Ebbinghaus,-1.74,-0.11066,25,5,0.2,0.8,Left
gpt-5.2,Ebbinghaus,-1.74,-0.07,25,13,0.52,0.48,Left
gpt-5.2,Ebbinghaus,-1.74,0.07,25,24,0.96,0.96,Left
gpt-5.2,Ebbinghaus,-1.74,0.11066,25,23,0.92,0.92,Left
gpt-5.2,Ebbinghaus,-1.74,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.74,0.7,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,-0.23378,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,-0.16462,25,2,0.08,0.92,Left
gpt-5.2,Ebbinghaus,-1.45,-0.11066,25,1,0.04,0.96,Left
gpt-5.2,Ebbinghaus,-1.45,-0.07,25,2,0.08,0.92,Left
gpt-5.2,Ebbinghaus,-1.45,0.07,25,22,0.88,0.88,Left
gpt-5.2,Ebbinghaus,-1.45,0.11066,25,20,0.8,0.8,Left
gpt-5.2,Ebbinghaus,-1.45,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,0.23378,25,24,0.96,0.96,Left
gpt-5.2,Ebbinghaus,-1.45,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.45,0.7,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.16,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.16,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.16,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.16,-0.32001,25,1,0.04,0.96,Left
gpt-5.2,Ebbinghaus,-1.16,-0.23378,25,1,0.04,0.96,Left
gpt-5.2,Ebbinghaus,-1.16,-0.16462,25,1,0.04,0.96,Left
gpt-5.2,Ebbinghaus,-1.16,-0.11066,25,2,0.08,0.92,Left
gpt-5.2,Ebbinghaus,-1.16,-0.07,25,16,0.64,0.36,Left
gpt-5.2,Ebbinghaus,-1.16,0.07,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,-1.16,0.11066,25,24,0.96,0.96,Left
gpt-5.2,Ebbinghaus,-1.16,0.16462,25,23,0.92,0.92,Left
gpt-5.2,Ebbinghaus,-1.16,0.23378,25,21,0.84,0.84,Left
