model,illusion,illusion_strength,n_points_used,PSE,PSE_SE,PSE_CI_low,PSE_CI_high,slope,slope_SE,sigma,sigma_SE,converged,fit_status,fit_R2,AIC,BIC,boundary_hit,monotonicity_warning,flat_curve_warning
gpt-5.2,Ebbinghaus,-2.03,16,-0.0814,0.0174,-0.1155,-0.0473,4.512922,1.500904,0.0884,0.0294,True,,0.9443,159.073,160.618,False,False,False
gpt-5.2,Ebbinghaus,-1.74,16,-0.0682,0.0145,-0.0966,-0.0398,3.261997,0.546778,0.1223,0.0205,True,,0.9699,161.599,163.144,False,False,False
gpt-5.2,Ebbinghaus,-1.45,16,0.0124,0.0087,-0.0047,0.0295,5.781772,0.653592,0.069,0.0078,True,,0.9913,111.71,113.255,False,False,False
gpt-5.2,Ebbinghaus,-1.16,16,-0.0783,0.0031,-0.0844,-0.0722,17.270229,3.738145,0.0231,0.005,True,,0.9884,483.641,485.186,False,False,False
gpt-5.2,Ebbinghaus,-0.87,16,-0.0265,0.0135,-0.053,-0.0,4.095917,0.634993,0.0974,0.0151,True,,0.9728,282.33,283.875,False,False,False
gpt-5.2,Ebbinghaus,-0.58,16,-0.1248,0.0077,-0.1399,-0.1097,3.738915,0.476563,0.1067,0.0136,True,,0.9879,139.247,140.792,False,False,False
gpt-5.2,Ebbinghaus,-0.29,16,-0.2386,0.0053,-0.249,-0.2282,6.04458,0.668567,0.066,0.0073,True,,0.9924,168.664,170.209,False,False,False
gpt-5.2,Ebbinghaus,0.0,16,-0.2592,0.0051,-0.2692,-0.2492,10.498481,1.71291,0.038,0.0062,True,,0.9921,148.513,150.058,False,False,False
gpt-5.2,Ebbinghaus,0.29,16,-0.185,0.0061,-0.197,-0.173,4.08334,0.380332,0.0977,0.0091,True,,0.9918,123.522,125.067,False,False,False
gpt-5.2,Ebbinghaus,0.58,16,-0.1705,0.0325,-0.2342,-0.1068,1.674821,0.352261,0.2382,0.0501,True,,0.9001,260.609,262.154,False,False,False
gpt-5.2,Ebbinghaus,0.87,16,-0.1591,0.0259,-0.2099,-0.1083,1.681881,0.282204,0.2372,0.0398,True,,0.93,294.054,295.6,False,False,False
gpt-5.2,Ebbinghaus,1.16,16,-0.0722,0.0201,-0.1116,-0.0328,1.656049,0.205545,0.2409,0.0299,True,,0.9583,295.096,296.641,False,False,False
gpt-5.2,Ebbinghaus,1.45,16,0.0198,0.0524,-0.0829,0.1225,0.847911,0.166519,0.4705,0.0924,True,,0.8138,414.677,416.222,False,False,False
gpt-5.2,Ebbinghaus,1.74,16,-0.0643,0.0978,-0.256,0.1274,0.601451,0.185431,0.6633,0.2045,True,,0.5661,470.997,472.543,False,False,False
gpt-5.2,Ebbinghaus,2.03,16,-0.1258,0.0637,-0.2507,-0.0009,0.926695,0.23162,0.4305,0.1076,True,,0.7422,401.695,403.24,False,False,False
