illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-2.03,-0.0867,0.1108,0.0188,0.0298,True,
-1.74,-0.0787,0.146,0.017,0.0245,True,
-1.45,0.0101,0.0711,0.0065,0.0059,True,
-1.16,-0.0736,0.0292,0.0037,0.0069,True,
-0.87,-0.0627,0.0108,6.8328,10.1304,True,
-0.58,-0.1342,0.12,0.0066,0.0113,True,
-0.29,-0.2371,0.0488,0.0039,0.0064,True,
0.0,-0.2769,0.0262,0.0,0.0,True,
0.29,-0.2065,0.0913,0.0108,0.0151,True,
0.58,-0.1379,0.2375,0.0345,0.0528,True,
0.87,-0.1662,0.1727,0.0186,0.0297,True,
1.16,-0.0493,0.18,0.028,0.0389,True,
1.45,0.0781,0.5082,0.0751,0.1359,True,
1.74,0.0155,0.6482,0.1085,0.2247,True,
2.03,-0.058,0.4601,0.0735,0.1282,True,
