illusion_strength,true_diff,n_trials,n_positive,prop_positive
-2.03,-0.7,20,0,0.0
-2.03,-0.55124,20,0,0.0
-2.03,-0.4252,20,1,0.05
-2.03,-0.32001,20,0,0.0
-2.03,-0.23378,20,6,0.3
-2.03,-0.16462,20,6,0.3
-2.03,-0.11066,20,2,0.1
-2.03,-0.07,20,14,0.7
-2.03,0.07,20,20,1.0
-2.03,0.11066,20,20,1.0
-2.03,0.16462,20,20,1.0
-2.03,0.23378,20,20,1.0
-2.03,0.32001,20,20,1.0
-2.03,0.4252,20,20,1.0
-2.03,0.55124,20,20,1.0
-2.03,0.7,20,20,1.0
-1.74,-0.7,20,0,0.0
-1.74,-0.55124,20,0,0.0
-1.74,-0.4252,20,0,0.0
-1.74,-0.32001,20,0,0.0
-1.74,-0.23378,20,8,0.4
-1.74,-0.16462,20,5,0.25
-1.74,-0.11066,20,5,0.25
-1.74,-0.07,20,10,0.5
-1.74,0.07,20,19,0.95
-1.74,0.11066,20,18,0.9
-1.74,0.16462,20,20,1.0
-1.74,0.23378,20,20,1.0
-1.74,0.32001,20,20,1.0
-1.74,0.4252,20,20,1.0
-1.74,0.55124,20,20,1.0
-1.74,0.7,20,20,1.0
-1.45,-0.7,20,0,0.0
-1.45,-0.55124,20,0,0.0
-1.45,-0.4252,20,0,0.0
-1.45,-0.32001,20,0,0.0
-1.45,-0.23378,20,0,0.0
-1.45,-0.16462,20,2,0.1
-1.45,-0.11066,20,1,0.05
-1.45,-0.07,20,2,0.1
-1.45,0.07,20,17,0.85
-1.45,0.11066,20,17,0.85
-1.45,0.16462,20,20,1.0
-1.45,0.23378,20,20,1.0
-1.45,0.32001,20,20,1.0
-1.45,0.4252,20,20,1.0
-1.45,0.55124,20,20,1.0
-1.45,0.7,20,20,1.0
-1.16,-0.7,20,0,0.0
-1.16,-0.55124,20,0,0.0
-1.16,-0.4252,20,0,0.0
-1.16,-0.32001,20,0,0.0
-1.16,-0.23378,20,1,0.05
-1.16,-0.16462,20,1,0.05
-1.16,-0.11066,20,2,0.1
-1.16,-0.07,20,11,0.55
-1.16,0.07,20,20,1.0
-1.16,0.11066,20,19,0.95
-1.16,0.16462,20,18,0.9
-1.16,0.23378,20,17,0.85
-1.16,0.32001,20,20,1.0
-1.16,0.4252,20,20,1.0
-1.16,0.55124,20,20,1.0
-1.16,0.7,20,20,1.0
-0.87,-0.7,20,0,0.0
-0.87,-0.55124,20,0,0.0
-0.87,-0.4252,20,2,0.1
-0.87,-0.32001,20,3,0.15
-0.87,-0.23378,20,1,0.05
-0.87,-0.16462,20,4,0.2
-0.87,-0.11066,20,0,0.0
-0.87,-0.07,20,5,0.25
-0.87,0.07,20,20,1.0
-0.87,0.11066,20,18,0.9
-0.87,0.16462,20,20,1.0
-0.87,0.23378,20,20,1.0
-0.87,0.32001,20,20,1.0
-0.87,0.4252,20,20,1.0
-0.87,0.55124,20,20,1.0
-0.87,0.7,20,20,1.0
-0.58,-0.7,20,0,0.0
-0.58,-0.55124,20,0,0.0
-0.58,-0.4252,20,0,0.0
-0.58,-0.32001,20,1,0.05
-0.58,-0.23378,20,6,0.3
-0.58,-0.16462,20,6,0.3
-0.58,-0.11066,20,12,0.6
-0.58,-0.07,20,14,0.7
-0.58,0.07,20,20,1.0
-0.58,0.11066,20,20,1.0
-0.58,0.16462,20,20,1.0
-0.58,0.23378,20,20,1.0
-0.58,0.32001,20,20,1.0
-0.58,0.4252,20,20,1.0
-0.58,0.55124,20,20,1.0
-0.58,0.7,20,20,1.0
-0.29,-0.7,20,0,0.0
-0.29,-0.55124,20,0,0.0
-0.29,-0.4252,20,0,0.0
-0.29,-0.32001,20,0,0.0
-0.29,-0.23378,20,11,0.55
-0.29,-0.16462,20,18,0.9
-0.29,-0.11066,20,19,0.95
-0.29,-0.07,20,20,1.0
-0.29,0.07,20,20,1.0
-0.29,0.11066,20,20,1.0
-0.29,0.16462,20,18,0.9
-0.29,0.23378,20,20,1.0
-0.29,0.32001,20,20,1.0
-0.29,0.4252,20,20,1.0
-0.29,0.55124,20,20,1.0
-0.29,0.7,20,20,1.0
0.0,-0.7,20,0,0.0
0.0,-0.55124,20,0,0.0
0.0,-0.4252,20,0,0.0
0.0,-0.32001,20,1,0.05
0.0,-0.23378,20,19,0.95
0.0,-0.16462,20,20,1.0
0.0,-0.11066,20,20,1.0
0.0,-0.07,20,20,1.0
0.0,0.07,20,20,1.0
0.0,0.11066,20,20,1.0
0.0,0.16462,20,20,1.0
0.0,0.23378,20,20,1.0
0.0,0.32001,20,20,1.0
0.0,0.4252,20,20,1.0
0.0,0.55124,20,20,1.0
0.0,0.7,20,20,1.0
0.29,-0.7,20,0,0.0
0.29,-0.55124,20,0,0.0
0.29,-0.4252,20,0,0.0
0.29,-0.32001,20,1,0.05
0.29,-0.23378,20,10,0.5
0.29,-0.16462,20,10,0.5
0.29,-0.11066,20,20,1.0
0.29,-0.07,20,18,0.9
0.29,0.07,20,20,1.0
0.29,0.11066,20,20,1.0
0.29,0.16462,20,20,1.0
0.29,0.23378,20,20,1.0
0.29,0.32001,20,20,1.0
0.29,0.4252,20,20,1.0
0.29,0.55124,20,20,1.0
0.29,0.7,20,20,1.0
0.58,-0.7,20,0,0.0
0.58,-0.55124,20,0,0.0
0.58,-0.4252,20,0,0.0
0.58,-0.32001,20,2,0.1
0.58,-0.23378,20,11,0.55
0.58,-0.16462,20,9,0.45
0.58,-0.11066,20,7,0.35
0.58,-0.07,20,19,0.95
0.58,0.07,20,13,0.65
0.58,0.11066,20,16,0.8
0.58,0.16462,20,16,0.8
0.58,0.23378,20,20,1.0
0.58,0.32001,20,20,1.0
0.58,0.4252,20,20,1.0
0.58,0.55124,20,20,1.0
0.58,0.7,20,20,1.0
0.87,-0.7,20,0,0.0
0.87,-0.55124,20,2,0.1
0.87,-0.4252,20,0,0.0
0.87,-0.32001,20,1,0.05
