illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-49.0,0.007,0.0142,0.0252,0.0108,True,
-42.0,0.0081,0.0137,0.0151,0.0065,True,
-35.0,0.011,0.0188,0.0029,0.0019,True,
-28.0,0.0203,0.0235,0.0013,0.0014,True,
-21.0,0.0104,0.0343,0.0093,0.0084,True,
-14.0,0.0353,0.0462,0.0024,0.0036,True,
-7.0,0.0697,0.0622,0.0053,0.0092,True,
0.0,0.0502,0.0784,0.0088,0.0132,True,
7.0,0.2184,0.1312,0.0165,0.0227,True,
14.0,0.2405,0.1142,0.0139,0.0186,True,
21.0,0.2316,0.0852,0.0102,0.0139,True,
28.0,0.2846,0.0514,0.0165,0.0247,True,
35.0,0.3157,0.2938,0.0721,0.0994,True,
42.0,0.3361,0.4164,0.1048,0.1541,True,
49.0,0.4161,0.7401,0.1973,0.3639,True,
