illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-44.8,-0.0,5.0,1.7101,54.1042,True,
-38.4,-0.0,5.0,1.7101,54.1042,True,
-32.0,-0.0,5.0,1.7101,54.1042,True,
-25.6,-0.0,5.0,1.7101,54.1042,True,
-19.2,-0.0,5.0,1.7101,54.1042,True,
-12.8,-0.0,5.0,1.7101,54.1042,True,
-6.4,0.8141,5.0,9.0015,54.3772,True,
0.0,-1.6375,5.0,18.0646,55.0143,True,
6.4,-0.8006,5.0,8.7687,53.8271,True,
12.8,-0.0,0.0049,17.4876,4.3108,True,
19.2,0.0,0.0047,0.0003,0.0001,True,
25.6,-0.0,0.0049,8.2397,2.039,True,
32.0,0.0,0.0047,0.0003,0.0001,True,
38.4,0.0,0.0047,0.0003,0.0001,True,
44.8,0.0237,0.0377,0.0131,0.0195,True,
