illusion_strength,true_diff,n_trials,n_positive,prop_positive
-44.8,-0.3,1,1,1.0
-44.8,-0.22987,1,1,1.0
-44.8,-0.17162,1,1,1.0
-44.8,-0.12415,1,1,1.0
-44.8,-0.08636,1,1,1.0
-44.8,-0.05713,1,1,1.0
-44.8,-0.03538,1,1,1.0
-44.8,-0.02,1,1,1.0
-44.8,0.02,1,0,0.0
-44.8,0.03538,1,0,0.0
-44.8,0.05713,1,0,0.0
-44.8,0.08636,1,0,0.0
-44.8,0.12415,1,0,0.0
-44.8,0.17162,1,0,0.0
-44.8,0.22987,1,0,0.0
-44.8,0.3,1,0,0.0
-38.4,-0.3,1,1,1.0
-38.4,-0.22987,1,1,1.0
-38.4,-0.17162,1,1,1.0
-38.4,-0.12415,1,1,1.0
-38.4,-0.08636,1,1,1.0
-38.4,-0.05713,1,1,1.0
-38.4,-0.03538,1,1,1.0
-38.4,-0.02,1,1,1.0
-38.4,0.02,1,0,0.0
-38.4,0.03538,1,0,0.0
-38.4,0.05713,1,0,0.0
-38.4,0.08636,1,0,0.0
-38.4,0.12415,1,0,0.0
-38.4,0.17162,1,0,0.0
-38.4,0.22987,1,0,0.0
-38.4,0.3,1,0,0.0
-32.0,-0.3,1,1,1.0
-32.0,-0.22987,1,1,1.0
-32.0,-0.17162,1,1,1.0
-32.0,-0.12415,1,1,1.0
-32.0,-0.08636,1,1,1.0
-32.0,-0.05713,1,1,1.0
-32.0,-0.03538,1,1,1.0
-32.0,-0.02,1,1,1.0
-32.0,0.02,1,0,0.0
-32.0,0.03538,1,0,0.0
-32.0,0.05713,1,0,0.0
-32.0,0.08636,1,0,0.0
-32.0,0.12415,1,0,0.0
-32.0,0.17162,1,0,0.0
-32.0,0.22987,1,0,0.0
-32.0,0.3,1,0,0.0
-25.6,-0.3,1,1,1.0
-25.6,-0.22987,1,1,1.0
-25.6,-0.17162,1,1,1.0
-25.6,-0.12415,1,1,1.0
-25.6,-0.08636,1,1,1.0
-25.6,-0.05713,1,1,1.0
-25.6,-0.03538,1,1,1.0
-25.6,-0.02,1,1,1.0
-25.6,0.02,1,0,0.0
