model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,Ponzo,-25.2,-0.46,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.41,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.3587,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.315,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.27349,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.238,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.20297,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.173,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.14575,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.123,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.10044,100,1,0.01,0.99,Top
gpt-5.2,Ponzo,-25.2,-0.082,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-25.2,-0.06565,100,12,0.12,0.88,Top
gpt-5.2,Ponzo,-25.2,-0.052,30,2,0.06666666666666667,0.9333333333333333,Top
gpt-5.2,Ponzo,-25.2,-0.04,100,15,0.15,0.85,Top
gpt-5.2,Ponzo,-25.2,0.04,100,88,0.88,0.88,Top
gpt-5.2,Ponzo,-25.2,0.052,30,25,0.8333333333333334,0.8333333333333334,Top
gpt-5.2,Ponzo,-25.2,0.06565,100,88,0.88,0.88,Top
gpt-5.2,Ponzo,-25.2,0.082,30,29,0.9666666666666667,0.9666666666666667,Top
gpt-5.2,Ponzo,-25.2,0.10044,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.123,30,27,0.9,0.9,Top
gpt-5.2,Ponzo,-25.2,0.14575,100,99,0.99,0.99,Top
gpt-5.2,Ponzo,-25.2,0.173,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.20297,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.238,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.27349,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.315,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.3587,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.41,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.46,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.56,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-25.2,0.67,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.46,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.41,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.3587,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.315,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.27349,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.238,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.20297,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.173,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.14575,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.123,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.10044,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.082,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.06565,100,8,0.08,0.92,Top
gpt-5.2,Ponzo,-21.6,-0.052,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-21.6,-0.04,100,41,0.41,0.59,Top
gpt-5.2,Ponzo,-21.6,0.04,100,35,0.35,0.35,Top
gpt-5.2,Ponzo,-21.6,0.052,30,18,0.6,0.6,Top
gpt-5.2,Ponzo,-21.6,0.06565,100,69,0.69,0.69,Top
gpt-5.2,Ponzo,-21.6,0.082,30,29,0.9666666666666667,0.9666666666666667,Top
gpt-5.2,Ponzo,-21.6,0.10044,100,91,0.91,0.91,Top
gpt-5.2,Ponzo,-21.6,0.123,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.14575,100,98,0.98,0.98,Top
gpt-5.2,Ponzo,-21.6,0.173,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.20297,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.238,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.27349,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.315,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.3587,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.41,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.46,100,100,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.56,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-21.6,0.67,30,30,1.0,1.0,Top
gpt-5.2,Ponzo,-18.0,-0.46,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-18.0,-0.41,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-18.0,-0.3587,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-18.0,-0.315,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-18.0,-0.27349,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-18.0,-0.238,30,0,0.0,1.0,Top
gpt-5.2,Ponzo,-18.0,-0.20297,100,0,0.0,1.0,Top
gpt-5.2,Ponzo,-18.0,-0.173,30,0,0.0,1.0,Top
