illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-25.2,-0.028,0.0963,0.0136,0.0188,True,
-21.6,0.0045,0.1408,0.0244,0.0362,True,
-18.0,0.0035,0.0474,0.0063,0.0062,True,
-14.4,0.0001,0.0092,6.2157,1.4298,True,
-10.8,-0.026,0.0085,11.1309,6.7671,True,
-7.2,0.04,0.0736,0.0084,0.0119,True,
-3.6,0.0137,0.0365,0.0029,0.0028,True,
0.0,-0.0,0.0094,0.0006,0.0001,True,
3.6,0.031,0.1234,0.0194,0.0283,True,
7.2,0.1038,0.1265,0.0326,0.0504,True,
10.8,0.0614,0.1812,0.0363,0.057,True,
14.4,0.0426,0.1716,0.0343,0.0534,True,
18.0,0.0215,0.0994,0.0166,0.0227,True,
21.6,0.0219,0.0271,0.0045,0.0054,True,
25.2,-0.0141,0.0277,0.0034,0.0031,True,
