illusion_strength,true_diff,n_trials,n_positive,prop_positive
-25.2,-0.46,20,0,0.0
-25.2,-0.3587,20,0,0.0
-25.2,-0.27349,20,0,0.0
-25.2,-0.20297,20,0,0.0
-25.2,-0.14575,20,0,0.0
-25.2,-0.10044,20,1,0.05
-25.2,-0.06565,20,12,0.6
-25.2,-0.04,20,11,0.55
-25.2,0.04,20,11,0.55
-25.2,0.06565,20,16,0.8
-25.2,0.10044,20,20,1.0
-25.2,0.14575,20,20,1.0
-25.2,0.20297,20,20,1.0
-25.2,0.27349,20,20,1.0
-25.2,0.3587,20,20,1.0
-25.2,0.46,20,20,1.0
-21.6,-0.46,20,0,0.0
-21.6,-0.3587,20,0,0.0
-21.6,-0.27349,20,0,0.0
-21.6,-0.20297,20,0,0.0
-21.6,-0.14575,20,0,0.0
-21.6,-0.10044,20,0,0.0
-21.6,-0.06565,20,8,0.4
-21.6,-0.04,20,17,0.85
-21.6,0.04,20,10,0.5
-21.6,0.06565,20,12,0.6
-21.6,0.10044,20,11,0.55
-21.6,0.14575,20,18,0.9
-21.6,0.20297,20,20,1.0
-21.6,0.27349,20,20,1.0
-21.6,0.3587,20,20,1.0
-21.6,0.46,20,20,1.0
-18.0,-0.46,20,0,0.0
-18.0,-0.3587,20,0,0.0
-18.0,-0.27349,20,0,0.0
-18.0,-0.20297,20,0,0.0
-18.0,-0.14575,20,0,0.0
-18.0,-0.10044,20,0,0.0
-18.0,-0.06565,20,3,0.15
-18.0,-0.04,20,2,0.1
-18.0,0.04,20,18,0.9
-18.0,0.06565,20,15,0.75
-18.0,0.10044,20,20,1.0
-18.0,0.14575,20,20,1.0
-18.0,0.20297,20,20,1.0
-18.0,0.27349,20,20,1.0
-18.0,0.3587,20,20,1.0
-18.0,0.46,20,20,1.0
-14.4,-0.46,20,0,0.0
-14.4,-0.3587,20,0,0.0
-14.4,-0.27349,20,0,0.0
-14.4,-0.20297,20,0,0.0
-14.4,-0.14575,20,0,0.0
-14.4,-0.10044,20,0,0.0
-14.4,-0.06565,20,0,0.0
-14.4,-0.04,20,0,0.0
-14.4,0.04,20,20,1.0
-14.4,0.06565,20,19,0.95
-14.4,0.10044,20,18,0.9
-14.4,0.14575,20,20,1.0
-14.4,0.20297,20,20,1.0
-14.4,0.27349,20,20,1.0
-14.4,0.3587,20,20,1.0
-14.4,0.46,20,20,1.0
-10.8,-0.46,20,0,0.0
-10.8,-0.3587,20,0,0.0
-10.8,-0.27349,20,0,0.0
-10.8,-0.20297,20,0,0.0
-10.8,-0.14575,20,0,0.0
-10.8,-0.10044,20,1,0.05
-10.8,-0.06565,20,0,0.0
-10.8,-0.04,20,1,0.05
-10.8,0.04,20,20,1.0
-10.8,0.06565,20,19,0.95
-10.8,0.10044,20,20,1.0
-10.8,0.14575,20,20,1.0
-10.8,0.20297,20,20,1.0
-10.8,0.27349,20,20,1.0
-10.8,0.3587,20,20,1.0
-10.8,0.46,20,20,1.0
-7.2,-0.46,20,0,0.0
-7.2,-0.3587,20,0,0.0
