model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,RodFrame,-14.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-14.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-14.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-14.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-14.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-14.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-14.0,-2.64907,100,4,0.04,0.96,Left
gpt-5.2,RodFrame,-14.0,-1.64336,100,29,0.29,0.71,Left
gpt-5.2,RodFrame,-14.0,-0.87661,100,61,0.61,0.39,Left
gpt-5.2,RodFrame,-14.0,-0.34882,100,56,0.56,0.44,Left
gpt-5.2,RodFrame,-14.0,-0.06,100,16,0.16,0.84,Left
gpt-5.2,RodFrame,-14.0,0.06,100,62,0.62,0.62,Left
gpt-5.2,RodFrame,-14.0,0.34882,100,87,0.87,0.87,Left
gpt-5.2,RodFrame,-14.0,0.87661,100,94,0.94,0.94,Left
gpt-5.2,RodFrame,-14.0,1.64336,100,62,0.62,0.62,Left
gpt-5.2,RodFrame,-14.0,2.64907,100,94,0.94,0.94,Left
gpt-5.2,RodFrame,-14.0,3.89375,100,79,0.79,0.79,Left
gpt-5.2,RodFrame,-14.0,5.37739,100,66,0.66,0.66,Left
gpt-5.2,RodFrame,-14.0,7.1,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,-14.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-14.0,11.2621,100,96,0.96,0.96,Left
gpt-5.2,RodFrame,-14.0,13.7016,100,98,0.98,0.98,Left
gpt-5.2,RodFrame,-12.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-12.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-12.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-12.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-12.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-12.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-12.0,-2.64907,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-12.0,-1.64336,100,66,0.66,0.34,Left
gpt-5.2,RodFrame,-12.0,-0.87661,100,54,0.54,0.46,Left
gpt-5.2,RodFrame,-12.0,-0.34882,100,83,0.83,0.17,Left
gpt-5.2,RodFrame,-12.0,-0.06,100,52,0.52,0.48,Left
gpt-5.2,RodFrame,-12.0,0.06,100,31,0.31,0.31,Left
gpt-5.2,RodFrame,-12.0,0.34882,100,44,0.44,0.44,Left
gpt-5.2,RodFrame,-12.0,0.87661,100,92,0.92,0.92,Left
gpt-5.2,RodFrame,-12.0,1.64336,100,86,0.86,0.86,Left
gpt-5.2,RodFrame,-12.0,2.64907,100,91,0.91,0.91,Left
gpt-5.2,RodFrame,-12.0,3.89375,100,62,0.62,0.62,Left
gpt-5.2,RodFrame,-12.0,5.37739,100,45,0.45,0.45,Left
gpt-5.2,RodFrame,-12.0,7.1,100,94,0.94,0.94,Left
gpt-5.2,RodFrame,-12.0,9.06157,100,76,0.76,0.76,Left
gpt-5.2,RodFrame,-12.0,11.2621,100,82,0.82,0.82,Left
gpt-5.2,RodFrame,-12.0,13.7016,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-10.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-10.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-10.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-10.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-10.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-10.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-10.0,-2.64907,100,1,0.01,0.99,Left
gpt-5.2,RodFrame,-10.0,-1.64336,100,36,0.36,0.64,Left
gpt-5.2,RodFrame,-10.0,-0.87661,100,39,0.39,0.61,Left
gpt-5.2,RodFrame,-10.0,-0.34882,100,70,0.7,0.3,Left
gpt-5.2,RodFrame,-10.0,-0.06,100,72,0.72,0.28,Left
gpt-5.2,RodFrame,-10.0,0.06,100,36,0.36,0.36,Left
gpt-5.2,RodFrame,-10.0,0.34882,100,91,0.91,0.91,Left
gpt-5.2,RodFrame,-10.0,0.87661,100,97,0.97,0.97,Left
gpt-5.2,RodFrame,-10.0,1.64336,100,84,0.84,0.84,Left
gpt-5.2,RodFrame,-10.0,2.64907,100,91,0.91,0.91,Left
gpt-5.2,RodFrame,-10.0,3.89375,100,45,0.45,0.45,Left
gpt-5.2,RodFrame,-10.0,5.37739,100,68,0.68,0.68,Left
gpt-5.2,RodFrame,-10.0,7.1,100,83,0.83,0.83,Left
gpt-5.2,RodFrame,-10.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-10.0,11.2621,100,21,0.21,0.21,Left
gpt-5.2,RodFrame,-10.0,13.7016,100,84,0.84,0.84,Left
gpt-5.2,RodFrame,-8.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-2.64907,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-1.64336,100,11,0.11,0.89,Left
gpt-5.2,RodFrame,-8.0,-0.87661,100,46,0.46,0.54,Left
gpt-5.2,RodFrame,-8.0,-0.34882,100,61,0.61,0.39,Left
gpt-5.2,RodFrame,-8.0,-0.06,100,45,0.45,0.55,Left
gpt-5.2,RodFrame,-8.0,0.06,100,27,0.27,0.27,Left
gpt-5.2,RodFrame,-8.0,0.34882,100,78,0.78,0.78,Left
