model,illusion,illusion_strength,n_points_used,PSE,PSE_SE,PSE_CI_low,PSE_CI_high,slope,slope_SE,sigma,sigma_SE,converged,fit_status,fit_R2,AIC,BIC,boundary_hit,monotonicity_warning,flat_curve_warning
gpt-5.2,RodFrame,-14.0,22,0.0319,0.0487,-0.0636,0.1274,4.275909,3.780948,0.0933,0.0825,True,,0.6836,11117.869,11120.051,False,False,False
gpt-5.2,RodFrame,-12.0,22,-0.4719,0.669,-1.7831,0.8393,0.101254,0.033262,3.94,1.2943,True,,0.7024,2274.265,2276.447,False,False,False
gpt-5.2,RodFrame,-10.0,22,-0.6926,0.4377,-1.5505,0.1653,0.260135,0.124826,1.5336,0.7359,True,,0.5885,7302.783,7304.965,False,False,False
gpt-5.2,RodFrame,-8.0,22,-0.1814,0.391,-0.9478,0.585,0.242976,0.110929,1.6419,0.7496,True,,0.6054,8037.817,8039.999,False,False,False
gpt-5.2,RodFrame,-6.0,22,-0.2886,0.7347,-1.7286,1.1514,0.162601,0.093737,2.4535,1.4144,True,,0.2379,7487.552,7489.734,False,False,False
gpt-5.2,RodFrame,-4.0,22,-0.8719,0.4364,-1.7272,-0.0166,0.182842,0.063252,2.1819,0.7548,True,,0.7847,2305.353,2307.535,False,False,False
gpt-5.2,RodFrame,-2.0,22,-0.636,0.3865,-1.3935,0.1215,0.165166,0.048653,2.4154,0.7115,True,,0.834,2053.611,2055.793,False,False,False
gpt-5.2,RodFrame,0.0,22,0.7274,0.9967,-1.2261,2.6809,0.079788,0.030656,5.0,1.9211,True,,0.5578,2170.501,2172.683,False,False,False
gpt-5.2,RodFrame,2.0,22,-0.5471,0.5684,-1.6612,0.567,0.079788,0.017624,5.0,1.1044,True,,0.8204,1963.118,1965.3,False,False,False
gpt-5.2,RodFrame,4.0,22,-2.0,1.0589,-4.0754,0.0754,0.079788,0.029364,5.0,1.8401,True,,0.427,2365.263,2367.445,False,False,False
gpt-5.2,RodFrame,6.0,22,-2.0,1.2969,-4.5419,0.5419,0.079788,0.035962,5.0,2.2536,True,,0.001,2604.897,2607.079,False,False,False
gpt-5.2,RodFrame,8.0,22,-2.0,1.3364,-4.6193,0.6193,0.079788,0.037059,5.0,2.3223,True,,-0.1743,2822.315,2824.497,False,False,False
gpt-5.2,RodFrame,10.0,22,-2.0,1.5534,-5.0447,1.0447,0.079788,0.043076,5.0,2.6994,True,,-0.8387,3425.255,3427.437,False,False,False
gpt-5.2,RodFrame,12.0,22,-2.0,1.5979,-5.1319,1.1319,0.079788,0.044311,5.0,2.7768,True,,-1.1804,3461.709,3463.892,False,False,False
gpt-5.2,RodFrame,14.0,22,-2.0,1.5494,-5.0368,1.0368,0.079788,0.042966,5.0,2.6925,True,,-1.2246,3758.957,3761.139,False,False,False
