illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-14.0,0.0319,0.0933,0.0487,0.0825,True,
-12.0,-0.4719,3.94,0.669,1.2943,True,
-10.0,-0.6926,1.5336,0.4377,0.7359,True,
-8.0,-0.1814,1.6419,0.391,0.7496,True,
-6.0,-0.2886,2.4535,0.7347,1.4144,True,
-4.0,-0.8719,2.1819,0.4364,0.7548,True,
-2.0,-0.636,2.4154,0.3865,0.7115,True,
0.0,0.7274,5.0,0.9967,1.9211,True,
2.0,-0.5471,5.0,0.5684,1.1044,True,
4.0,-2.0,5.0,1.0589,1.8401,True,
6.0,-2.0,5.0,1.2969,2.2536,True,
8.0,-2.0,5.0,1.3364,2.3223,True,
10.0,-2.0,5.0,1.5534,2.6994,True,
12.0,-2.0,5.0,1.5979,2.7768,True,
14.0,-2.0,5.0,1.5494,2.6925,True,
