illusion_strength,true_diff,n_trials,n_positive,prop_positive
-14.0,-7.1,1,0,0.0
-14.0,-5.37739,1,0,0.0
-14.0,-3.89375,1,0,0.0
-14.0,-2.64907,1,0,0.0
-14.0,-1.64336,1,0,0.0
-14.0,-0.87661,1,0,0.0
-14.0,-0.34882,1,0,0.0
-14.0,-0.06,1,0,0.0
-14.0,0.06,1,0,0.0
-14.0,0.34882,1,0,0.0
-14.0,0.87661,1,0,0.0
-14.0,1.64336,1,1,1.0
-14.0,2.64907,1,1,1.0
-14.0,3.89375,1,1,1.0
-14.0,5.37739,1,0,0.0
-14.0,7.1,1,0,0.0
-12.0,-7.1,1,0,0.0
-12.0,-5.37739,1,0,0.0
-12.0,-3.89375,1,0,0.0
-12.0,-2.64907,1,0,0.0
-12.0,-1.64336,1,1,1.0
-12.0,-0.87661,1,1,1.0
-12.0,-0.34882,1,1,1.0
-12.0,-0.06,1,0,0.0
-12.0,0.06,1,0,0.0
-12.0,0.34882,1,1,1.0
-12.0,0.87661,1,0,0.0
-12.0,1.64336,1,1,1.0
-12.0,2.64907,1,1,1.0
-12.0,3.89375,1,0,0.0
-12.0,5.37739,1,0,0.0
-12.0,7.1,1,0,0.0
-10.0,-7.1,1,0,0.0
-10.0,-5.37739,1,0,0.0
-10.0,-3.89375,1,0,0.0
-10.0,-2.64907,1,1,1.0
-10.0,-1.64336,1,1,1.0
-10.0,-0.87661,1,1,1.0
-10.0,-0.34882,1,0,0.0
-10.0,-0.06,1,0,0.0
-10.0,0.06,1,0,0.0
-10.0,0.34882,1,0,0.0
-10.0,0.87661,1,0,0.0
-10.0,1.64336,1,1,1.0
-10.0,2.64907,1,1,1.0
-10.0,3.89375,1,1,1.0
-10.0,5.37739,1,0,0.0
-10.0,7.1,1,1,1.0
-8.0,-7.1,1,0,0.0
-8.0,-5.37739,1,0,0.0
-8.0,-3.89375,1,0,0.0
-8.0,-2.64907,1,0,0.0
-8.0,-1.64336,1,0,0.0
-8.0,-0.87661,1,1,1.0
-8.0,-0.34882,1,0,0.0
-8.0,-0.06,1,1,1.0
-8.0,0.06,1,0,0.0
-8.0,0.34882,1,1,1.0
-8.0,0.87661,1,1,1.0
-8.0,1.64336,1,1,1.0
-8.0,2.64907,1,1,1.0
-8.0,3.89375,1,1,1.0
-8.0,5.37739,1,0,0.0
-8.0,7.1,1,0,0.0
-6.0,-7.1,1,0,0.0
-6.0,-5.37739,1,0,0.0
-6.0,-3.89375,1,0,0.0
-6.0,-2.64907,1,0,0.0
-6.0,-1.64336,1,0,0.0
-6.0,-0.87661,1,0,0.0
-6.0,-0.34882,1,1,1.0
-6.0,-0.06,1,1,1.0
-6.0,0.06,1,0,0.0
-6.0,0.34882,1,1,1.0
-6.0,0.87661,1,1,1.0
-6.0,1.64336,1,1,1.0
-6.0,2.64907,1,1,1.0
-6.0,3.89375,1,0,0.0
-6.0,5.37739,1,1,1.0
-6.0,7.1,1,0,0.0
-4.0,-7.1,1,0,0.0
-4.0,-5.37739,1,0,0.0
-4.0,-3.89375,1,0,0.0
-4.0,-2.64907,1,0,0.0
-4.0,-1.64336,1,0,0.0
-4.0,-0.87661,1,0,0.0
-4.0,-0.34882,1,1,1.0
-4.0,-0.06,1,0,0.0
-4.0,0.06,1,1,1.0
-4.0,0.34882,1,1,1.0
-4.0,0.87661,1,1,1.0
-4.0,1.64336,1,1,1.0
-4.0,2.64907,1,1,1.0
-4.0,3.89375,1,0,0.0
-4.0,5.37739,1,1,1.0
-4.0,7.1,1,1,1.0
-2.0,-7.1,1,0,0.0
-2.0,-5.37739,1,0,0.0
-2.0,-3.89375,1,0,0.0
-2.0,-2.64907,1,0,0.0
-2.0,-1.64336,1,0,0.0
-2.0,-0.87661,1,1,1.0
-2.0,-0.34882,1,0,0.0
-2.0,-0.06,1,0,0.0
-2.0,0.06,1,0,0.0
-2.0,0.34882,1,0,0.0
-2.0,0.87661,1,0,0.0
-2.0,1.64336,1,0,0.0
-2.0,2.64907,1,1,1.0
-2.0,3.89375,1,0,0.0
-2.0,5.37739,1,1,1.0
-2.0,7.1,1,1,1.0
0.0,-7.1,1,0,0.0
0.0,-5.37739,1,0,0.0
0.0,-3.89375,1,0,0.0
0.0,-2.64907,1,0,0.0
0.0,-1.64336,1,0,0.0
0.0,-0.87661,1,0,0.0
0.0,-0.34882,1,1,1.0
0.0,-0.06,1,0,0.0
0.0,0.06,1,0,0.0
0.0,0.34882,1,1,1.0
0.0,0.87661,1,0,0.0
0.0,1.64336,1,0,0.0
0.0,2.64907,1,1,1.0
0.0,3.89375,1,1,1.0
0.0,5.37739,1,0,0.0
0.0,7.1,1,0,0.0
2.0,-7.1,1,0,0.0
2.0,-5.37739,1,0,0.0
2.0,-3.89375,1,0,0.0
2.0,-2.64907,1,0,0.0
2.0,-1.64336,1,0,0.0
2.0,-0.87661,1,0,0.0
2.0,-0.34882,1,1,1.0
2.0,-0.06,1,0,0.0
2.0,0.06,1,1,1.0
2.0,0.34882,1,1,1.0
2.0,0.87661,1,1,1.0
2.0,1.64336,1,0,0.0
2.0,2.64907,1,1,1.0
2.0,3.89375,1,1,1.0
2.0,5.37739,1,1,1.0
2.0,7.1,1,1,1.0
4.0,-7.1,1,0,0.0
4.0,-5.37739,1,0,0.0
4.0,-3.89375,1,0,0.0
4.0,-2.64907,1,1,1.0
4.0,-1.64336,1,1,1.0
4.0,-0.87661,1,0,0.0
4.0,-0.34882,1,0,0.0
4.0,-0.06,1,1,1.0
4.0,0.06,1,0,0.0
4.0,0.34882,1,0,0.0
4.0,0.87661,1,1,1.0
4.0,1.64336,1,0,0.0
4.0,2.64907,1,1,1.0
4.0,3.89375,1,0,0.0
4.0,5.37739,1,1,1.0
4.0,7.1,1,1,1.0
6.0,-7.1,1,1,1.0
6.0,-5.37739,1,1,1.0
6.0,-3.89375,1,1,1.0
6.0,-2.64907,1,0,0.0
6.0,-1.64336,1,0,0.0
6.0,-0.87661,1,1,1.0
6.0,-0.34882,1,0,0.0
6.0,-0.06,1,0,0.0
6.0,0.06,1,1,1.0
6.0,0.34882,1,1,1.0
6.0,0.87661,1,1,1.0
6.0,1.64336,1,0,0.0
6.0,2.64907,1,1,1.0
6.0,3.89375,1,1,1.0
6.0,5.37739,1,1,1.0
6.0,7.1,1,0,0.0
8.0,-7.1,1,0,0.0
8.0,-5.37739,1,0,0.0
8.0,-3.89375,1,0,0.0
8.0,-2.64907,1,0,0.0
