model,illusion,illusion_strength,n_points_used,PSE,PSE_SE,PSE_CI_low,PSE_CI_high,slope,slope_SE,sigma,sigma_SE,converged,fit_status,fit_R2,AIC,BIC,boundary_hit,monotonicity_warning,flat_curve_warning
gpt-5.2,VerticalHorizontal,-66.5,24,0.0476,0.0103,0.0274,0.0678,5.603122,1.204042,0.0712,0.0153,True,,0.9289,1199.887,1202.243,False,False,False
gpt-5.2,VerticalHorizontal,-57.0,24,0.0119,0.0059,0.0003,0.0235,26.955559,8.560211,0.0148,0.0047,True,,0.9993,448.964,451.32,False,False,False
gpt-5.2,VerticalHorizontal,-47.5,24,0.0001,8.3396,-16.3455,16.3457,57.817722,16013.833062,0.0069,1.9111,True,,0.9895,1339.502,1341.858,False,False,False
gpt-5.2,VerticalHorizontal,-38.0,24,0.0063,0.016,-0.0251,0.0377,24.325749,15.574412,0.0164,0.0105,True,,0.9727,1502.622,1504.978,False,False,False
gpt-5.2,VerticalHorizontal,-28.5,24,0.0,0.0004,-0.0008,0.0008,55.40865,0.769565,0.0072,0.0001,True,,1.0,4.006,6.362,False,False,False
gpt-5.2,VerticalHorizontal,-19.0,24,0.0,0.0004,-0.0008,0.0008,55.40865,0.769565,0.0072,0.0001,True,,1.0,4.006,6.362,False,False,False
gpt-5.2,VerticalHorizontal,-9.5,24,0.0,0.0004,-0.0008,0.0008,55.40865,0.769565,0.0072,0.0001,True,,1.0,4.006,6.362,False,False,False
gpt-5.2,VerticalHorizontal,0.0,24,0.0187,5.7269,-11.206,11.2434,61.375735,30888.047045,0.0065,3.2712,True,,0.9977,544.161,546.517,False,False,False
gpt-5.2,VerticalHorizontal,4.75,20,0.1104,0.0174,0.0763,0.1445,54.649627,63.633128,0.0073,0.0085,True,,0.8892,2280.142,2282.133,False,False,False
gpt-5.2,VerticalHorizontal,9.5,24,0.1946,0.0091,0.1768,0.2124,10.753161,3.681001,0.0371,0.0127,True,,0.9294,3668.547,3670.903,False,False,False
gpt-5.2,VerticalHorizontal,14.25,20,0.1956,0.0686,0.0611,0.3301,2.006752,1.023565,0.1988,0.1014,True,,0.4493,898.508,900.499,False,False,False
gpt-5.2,VerticalHorizontal,19.0,24,0.043,0.0596,-0.0738,0.1598,1.382816,0.518136,0.2885,0.1081,True,,0.4665,2155.032,2157.388,False,False,False
gpt-5.2,VerticalHorizontal,23.75,20,0.1269,0.0964,-0.062,0.3158,1.138209,0.616679,0.3505,0.1899,True,,0.3,1102.592,1104.583,False,False,False
gpt-5.2,VerticalHorizontal,28.5,24,0.1138,0.0655,-0.0146,0.2422,1.119681,0.38653,0.3563,0.123,True,,0.4518,2368.372,2370.728,False,False,False
gpt-5.2,VerticalHorizontal,38.0,24,0.2794,0.2534,-0.2173,0.7761,0.429848,0.395066,0.9281,0.853,True,,0.0571,2861.022,2863.378,False,False,False
gpt-5.2,VerticalHorizontal,47.5,24,0.1702,0.0555,0.0614,0.279,1.436594,0.459379,0.2777,0.0888,True,,0.5299,2262.789,2265.145,False,False,False
gpt-5.2,VerticalHorizontal,57.0,24,0.2263,0.0864,0.057,0.3956,1.071849,0.433693,0.3722,0.1506,True,,0.3342,2495.483,2497.839,False,False,False
gpt-5.2,VerticalHorizontal,66.5,24,0.2391,0.0158,0.2081,0.2701,6.660138,2.490603,0.0599,0.0224,True,,0.8486,4119.093,4121.449,False,False,False
