illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-66.5,0.073,0.1091,0.0124,0.0186,True,
-57.0,0.026,0.0048,1.5435,1.834,True,
-47.5,0.0001,0.0066,12.0167,2.6364,True,
-38.0,0.0002,0.0066,20.4714,4.5445,True,
-28.5,0.0,0.0072,0.0004,0.0001,True,
-19.0,0.0,0.0072,0.0004,0.0001,True,
-9.5,0.0,0.0072,0.0004,0.0001,True,
0.0,0.0189,0.0064,5.0737,2.8981,True,
4.75,0.1104,0.0073,0.0174,0.0085,True,
9.5,0.1924,0.0336,0.0103,0.0146,True,
14.25,0.1956,0.1988,0.0686,0.1014,True,
19.0,0.0461,0.3027,0.0608,0.1121,True,
23.75,0.1269,0.3505,0.0964,0.1899,True,
28.5,0.105,0.3355,0.0611,0.1124,True,
38.0,0.2869,0.8431,0.2286,0.6979,True,
47.5,0.1882,0.2607,0.0544,0.084,True,
57.0,0.2343,0.3482,0.0806,0.1347,True,
66.5,0.2407,0.0144,0.0051,0.0416,True,
