illusion_strength,true_diff,n_trials,n_positive,prop_positive
-66.5,-0.24,100,0,0.0
-66.5,-0.19772,100,0,0.0
-66.5,-0.15953,100,0,0.0
-66.5,-0.12544,100,0,0.0
-66.5,-0.09544,100,0,0.0
-66.5,-0.06953,100,0,0.0
-66.5,-0.04772,100,0,0.0
-66.5,-0.03,100,1,0.01
-66.5,0.03,100,26,0.26
-66.5,0.04772,100,82,0.82
-66.5,0.06953,100,74,0.74
-66.5,0.09544,100,68,0.68
-66.5,0.12544,100,80,0.8
-66.5,0.15953,100,80,0.8
-66.5,0.19772,100,63,0.63
-66.5,0.24,100,94,0.94
-66.5,0.277,30,30,1.0
-66.5,0.32,100,99,0.99
-66.5,0.369,30,30,1.0
-66.5,0.42,100,100,1.0
-66.5,0.475,30,30,1.0
-66.5,0.54,100,100,1.0
-66.5,0.611,30,30,1.0
-66.5,0.7,100,100,1.0
-57.0,-0.24,100,0,0.0
-57.0,-0.19772,100,0,0.0
-57.0,-0.15953,99,0,0.0
-57.0,-0.12544,100,0,0.0
-57.0,-0.09544,100,0,0.0
-57.0,-0.06953,100,0,0.0
-57.0,-0.04772,100,0,0.0
-57.0,-0.03,100,0,0.0
-57.0,0.03,100,89,0.89
-57.0,0.04772,100,99,0.99
-57.0,0.06953,100,98,0.98
-57.0,0.09544,100,95,0.95
-57.0,0.12544,100,100,1.0
-57.0,0.15953,100,98,0.98
-57.0,0.19772,100,99,0.99
-57.0,0.24,100,100,1.0
-57.0,0.277,30,30,1.0
-57.0,0.32,100,100,1.0
-57.0,0.369,30,30,1.0
-57.0,0.42,100,100,1.0
-57.0,0.475,30,30,1.0
-57.0,0.54,100,100,1.0
-57.0,0.611,30,30,1.0
-57.0,0.7,100,100,1.0
-47.5,-0.24,100,0,0.0
-47.5,-0.19772,100,0,0.0
-47.5,-0.15953,100,0,0.0
-47.5,-0.12544,100,0,0.0
-47.5,-0.09544,100,0,0.0
-47.5,-0.06953,100,0,0.0
-47.5,-0.04772,100,0,0.0
-47.5,-0.03,100,0,0.0
-47.5,0.03,100,100,1.0
-47.5,0.04772,100,97,0.97
-47.5,0.06953,100,77,0.77
-47.5,0.09544,100,100,1.0
-47.5,0.12544,100,100,1.0
-47.5,0.15953,100,97,0.97
-47.5,0.19772,100,100,1.0
-47.5,0.24,100,100,1.0
-47.5,0.277,30,30,1.0
-47.5,0.32,100,100,1.0
-47.5,0.369,30,30,1.0
-47.5,0.42,100,100,1.0
-47.5,0.475,30,30,1.0
-47.5,0.54,100,100,1.0
-47.5,0.611,30,30,1.0
-47.5,0.7,100,100,1.0
-38.0,-0.24,100,0,0.0
-38.0,-0.19772,100,0,0.0
-38.0,-0.15953,100,0,0.0
-38.0,-0.12544,100,0,0.0
-38.0,-0.09544,100,0,0.0
-38.0,-0.06953,100,0,0.0
-38.0,-0.04772,100,0,0.0
-38.0,-0.03,100,0,0.0
-38.0,0.03,100,94,0.94
-38.0,0.04772,100,90,0.9
-38.0,0.06953,100,100,1.0
-38.0,0.09544,100,64,0.64
-38.0,0.12544,100,98,0.98
-38.0,0.15953,100,100,1.0
-38.0,0.19772,100,100,1.0
-38.0,0.24,100,100,1.0
-38.0,0.277,30,30,1.0
-38.0,0.32,100,100,1.0
-38.0,0.369,30,30,1.0
-38.0,0.42,100,100,1.0
-38.0,0.475,30,30,1.0
-38.0,0.54,100,100,1.0
-38.0,0.611,30,30,1.0
-38.0,0.7,100,100,1.0
-28.5,-0.24,100,0,0.0
-28.5,-0.19772,100,0,0.0
-28.5,-0.15953,100,0,0.0
-28.5,-0.12544,100,0,0.0
-28.5,-0.09544,100,0,0.0
-28.5,-0.06953,100,0,0.0
-28.5,-0.04772,100,0,0.0
-28.5,-0.03,100,0,0.0
-28.5,0.03,100,100,1.0
-28.5,0.04772,100,100,1.0
-28.5,0.06953,100,100,1.0
-28.5,0.09544,100,100,1.0
-28.5,0.12544,100,100,1.0
-28.5,0.15953,100,100,1.0
-28.5,0.19772,100,100,1.0
-28.5,0.24,100,100,1.0
-28.5,0.277,30,30,1.0
-28.5,0.32,100,100,1.0
-28.5,0.369,30,30,1.0
-28.5,0.42,99,99,1.0
-28.5,0.475,30,30,1.0
-28.5,0.54,100,100,1.0
-28.5,0.611,30,30,1.0
-28.5,0.7,100,100,1.0
-19.0,-0.24,100,0,0.0
-19.0,-0.19772,100,0,0.0
-19.0,-0.15953,100,0,0.0
-19.0,-0.12544,100,0,0.0
-19.0,-0.09544,100,0,0.0
-19.0,-0.06953,100,0,0.0
-19.0,-0.04772,100,0,0.0
-19.0,-0.03,100,0,0.0
-19.0,0.03,100,100,1.0
-19.0,0.04772,100,100,1.0
-19.0,0.06953,100,100,1.0
-19.0,0.09544,100,100,1.0
-19.0,0.12544,100,100,1.0
-19.0,0.15953,100,100,1.0
-19.0,0.19772,100,100,1.0
-19.0,0.24,100,100,1.0
-19.0,0.277,30,30,1.0
-19.0,0.32,100,100,1.0
-19.0,0.369,30,30,1.0
-19.0,0.42,100,100,1.0
-19.0,0.475,30,30,1.0
-19.0,0.54,100,100,1.0
-19.0,0.611,30,30,1.0
-19.0,0.7,100,100,1.0
-9.5,-0.24,100,0,0.0
-9.5,-0.19772,100,0,0.0
-9.5,-0.15953,100,0,0.0
-9.5,-0.12544,100,0,0.0
-9.5,-0.09544,100,0,0.0
-9.5,-0.06953,100,0,0.0
-9.5,-0.04772,100,0,0.0
-9.5,-0.03,100,0,0.0
-9.5,0.03,100,100,1.0
-9.5,0.04772,100,100,1.0
-9.5,0.06953,100,100,1.0
-9.5,0.09544,100,100,1.0
-9.5,0.12544,100,100,1.0
-9.5,0.15953,100,100,1.0
-9.5,0.19772,100,100,1.0
-9.5,0.24,100,100,1.0
-9.5,0.277,30,30,1.0
-9.5,0.32,100,100,1.0
-9.5,0.369,30,30,1.0
-9.5,0.42,100,100,1.0
-9.5,0.475,30,30,1.0
-9.5,0.54,100,100,1.0
-9.5,0.611,30,30,1.0
-9.5,0.7,100,100,1.0
0.0,-0.24,100,0,0.0
0.0,-0.19772,100,0,0.0
0.0,-0.15953,100,0,0.0
0.0,-0.12544,100,0,0.0
0.0,-0.09544,100,0,0.0
0.0,-0.06953,100,0,0.0
0.0,-0.04772,100,11,0.11
0.0,-0.03,100,0,0.0
0.0,0.03,100,96,0.96
0.0,0.04772,100,100,1.0
0.0,0.06953,100,100,1.0
0.0,0.09544,100,100,1.0
0.0,0.12544,100,100,1.0
0.0,0.15953,100,100,1.0
0.0,0.19772,100,100,1.0
0.0,0.24,100,100,1.0
0.0,0.277,30,30,1.0
0.0,0.32,100,100,1.0
0.0,0.369,30,30,1.0
0.0,0.42,100,100,1.0
0.0,0.475,30,30,1.0
0.0,0.54,100,100,1.0
0.0,0.611,30,30,1.0
0.0,0.7,100,100,1.0
4.75,-0.24,50,0,0.0
4.75,-0.19772,50,0,0.0
4.75,-0.15953,50,0,0.0
4.75,-0.12544,50,0,0.0
4.75,-0.09544,50,0,0.0
4.75,-0.06953,50,0,0.0
4.75,-0.04772,50,1,0.02
4.75,-0.03,50,32,0.64
4.75,0.03,50,3,0.06
4.75,0.04772,50,0,0.0
4.75,0.06953,50,0,0.0
4.75,0.09544,50,1,0.02
4.75,0.12544,50,49,0.98
4.75,0.15953,50,37,0.74
4.75,0.19772,50,50,1.0
4.75,0.24,50,50,1.0
4.75,0.32,50,50,1.0
4.75,0.42,50,50,1.0
4.75,0.54,50,50,1.0
4.75,0.7,50,50,1.0
9.5,-0.24,100,0,0.0
9.5,-0.19772,100,0,0.0
9.5,-0.15953,100,0,0.0
9.5,-0.12544,100,0,0.0
9.5,-0.09544,100,0,0.0
9.5,-0.06953,100,0,0.0
9.5,-0.04772,100,55,0.55
9.5,-0.03,100,19,0.19
9.5,0.03,100,0,0.0
9.5,0.04772,100,0,0.0
9.5,0.06953,100,0,0.0
9.5,0.09544,100,0,0.0
9.5,0.12544,100,4,0.04
9.5,0.15953,100,22,0.22
9.5,0.19772,100,47,0.47
9.5,0.24,100,96,0.96
9.5,0.277,30,29,0.9666666666666667
9.5,0.32,100,100,1.0
9.5,0.369,30,30,1.0
9.5,0.42,100,100,1.0
9.5,0.475,30,30,1.0
9.5,0.54,100,100,1.0
9.5,0.611,30,30,1.0
9.5,0.7,100,100,1.0
14.25,-0.24,50,0,0.0
14.25,-0.19772,50,0,0.0
14.25,-0.15953,50,0,0.0
14.25,-0.12544,50,0,0.0
14.25,-0.09544,50,0,0.0
14.25,-0.06953,50,10,0.2
14.25,-0.04772,50,50,1.0
14.25,-0.03,50,50,1.0
14.25,0.03,50,0,0.0
14.25,0.04772,50,0,0.0
14.25,0.06953,50,0,0.0
14.25,0.09544,50,0,0.0
14.25,0.12544,50,2,0.04
14.25,0.15953,50,2,0.04
14.25,0.19772,50,22,0.44
14.25,0.24,50,49,0.98
14.25,0.32,50,50,1.0
14.25,0.42,50,50,1.0
14.25,0.54,50,50,1.0
14.25,0.7,50,50,1.0
19.0,-0.24,100,0,0.0
19.0,-0.19772,100,0,0.0
19.0,-0.15953,100,0,0.0
19.0,-0.12544,100,21,0.21
19.0,-0.09544,100,57,0.57
19.0,-0.06953,100,91,0.91
19.0,-0.04772,100,100,1.0
19.0,-0.03,100,100,1.0
19.0,0.03,100,11,0.11
19.0,0.04772,100,2,0.02
19.0,0.06953,100,1,0.01
19.0,0.09544,100,33,0.33
19.0,0.12544,100,35,0.35
19.0,0.15953,100,70,0.7
19.0,0.19772,100,68,0.68
19.0,0.24,100,94,0.94
19.0,0.277,30,25,0.8333333333333334
19.0,0.32,100,99,0.99
19.0,0.369,30,30,1.0
19.0,0.42,100,100,1.0
19.0,0.475,30,30,1.0
19.0,0.54,100,100,1.0
19.0,0.611,30,30,1.0
19.0,0.7,100,100,1.0
23.75,-0.24,50,0,0.0
23.75,-0.19772,50,0,0.0
23.75,-0.15953,50,0,0.0
23.75,-0.12544,50,2,0.04
23.75,-0.09544,50,17,0.34
23.75,-0.06953,50,46,0.92
23.75,-0.04772,50,50,1.0
23.75,-0.03,50,50,1.0
23.75,0.03,50,0,0.0
23.75,0.04772,50,0,0.0
23.75,0.06953,50,2,0.04
23.75,0.09544,50,0,0.0
23.75,0.12544,50,48,0.96
23.75,0.15953,50,15,0.3
23.75,0.19772,50,32,0.64
23.75,0.24,50,8,0.16
23.75,0.32,50,50,1.0
23.75,0.42,50,50,1.0
23.75,0.54,50,50,1.0
23.75,0.7,50,50,1.0
28.5,-0.24,100,0,0.0
