model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,White,-17.5,-17.5,25,1,0.04,0.96,Left
gpt-5.2,White,-17.5,-14.69282,25,0,0.0,1.0,Left
gpt-5.2,White,-17.5,-12.13089,25,0,0.0,1.0,Left
gpt-5.2,White,-17.5,-9.81421,25,0,0.0,1.0,Left
gpt-5.2,White,-17.5,-7.74279,25,0,0.0,1.0,Left
gpt-5.2,White,-17.5,-5.91661,25,10,0.4,0.6,Left
gpt-5.2,White,-17.5,-4.33568,25,21,0.84,0.16,Left
gpt-5.2,White,-17.5,-3.0,25,25,1.0,0.0,Left
gpt-5.2,White,-17.5,3.0,25,12,0.48,0.48,Left
gpt-5.2,White,-17.5,4.33568,25,1,0.04,0.04,Left
gpt-5.2,White,-17.5,5.91661,25,13,0.52,0.52,Left
gpt-5.2,White,-17.5,7.74279,25,5,0.2,0.2,Left
gpt-5.2,White,-17.5,9.81421,25,24,0.96,0.96,Left
gpt-5.2,White,-17.5,12.13089,25,25,1.0,1.0,Left
gpt-5.2,White,-17.5,14.69282,25,23,0.92,0.92,Left
gpt-5.2,White,-17.5,17.5,25,22,0.88,0.88,Left
gpt-5.2,White,-15.0,-17.5,25,0,0.0,1.0,Left
gpt-5.2,White,-15.0,-14.69282,25,0,0.0,1.0,Left
gpt-5.2,White,-15.0,-12.13089,25,0,0.0,1.0,Left
gpt-5.2,White,-15.0,-9.81421,25,0,0.0,1.0,Left
gpt-5.2,White,-15.0,-7.74279,25,4,0.16,0.84,Left
gpt-5.2,White,-15.0,-5.91661,25,0,0.0,1.0,Left
gpt-5.2,White,-15.0,-4.33568,25,5,0.2,0.8,Left
gpt-5.2,White,-15.0,-3.0,25,12,0.48,0.52,Left
gpt-5.2,White,-15.0,3.0,25,2,0.08,0.08,Left
gpt-5.2,White,-15.0,4.33568,25,6,0.24,0.24,Left
gpt-5.2,White,-15.0,5.91661,25,3,0.12,0.12,Left
gpt-5.2,White,-15.0,7.74279,25,9,0.36,0.36,Left
gpt-5.2,White,-15.0,9.81421,25,7,0.28,0.28,Left
gpt-5.2,White,-15.0,12.13089,25,25,1.0,1.0,Left
gpt-5.2,White,-15.0,14.69282,25,25,1.0,1.0,Left
gpt-5.2,White,-15.0,17.5,25,25,1.0,1.0,Left
gpt-5.2,White,-12.5,-17.5,25,0,0.0,1.0,Left
gpt-5.2,White,-12.5,-14.69282,25,0,0.0,1.0,Left
gpt-5.2,White,-12.5,-12.13089,25,0,0.0,1.0,Left
gpt-5.2,White,-12.5,-9.81421,25,0,0.0,1.0,Left
gpt-5.2,White,-12.5,-7.74279,25,20,0.8,0.2,Left
gpt-5.2,White,-12.5,-5.91661,25,14,0.56,0.44,Left
gpt-5.2,White,-12.5,-4.33568,25,14,0.56,0.44,Left
gpt-5.2,White,-12.5,-3.0,25,25,1.0,0.0,Left
gpt-5.2,White,-12.5,3.0,25,0,0.0,0.0,Left
gpt-5.2,White,-12.5,4.33568,25,3,0.12,0.12,Left
gpt-5.2,White,-12.5,5.91661,25,9,0.36,0.36,Left
gpt-5.2,White,-12.5,7.74279,25,19,0.76,0.76,Left
gpt-5.2,White,-12.5,9.81421,25,18,0.72,0.72,Left
