model,illusion,illusion_strength,n_points_used,PSE,PSE_SE,PSE_CI_low,PSE_CI_high,slope,slope_SE,sigma,sigma_SE,converged,fit_status,fit_R2,AIC,BIC,boundary_hit,monotonicity_warning,flat_curve_warning
gpt-5.2,White,-17.5,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,-0.4972,6082.825,6084.37,False,False,False
gpt-5.2,White,-15.0,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,-0.6537,5484.153,5485.698,False,False,False
gpt-5.2,White,-12.5,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,-0.9062,7142.014,7143.559,False,False,False
gpt-5.2,White,-10.0,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,-1.0294,7694.634,7696.179,False,False,False
gpt-5.2,White,-7.5,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,-1.1756,7694.634,7696.179,False,False,False
gpt-5.2,White,-5.0,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,-3.8542,8707.772,8709.317,False,False,False
gpt-5.2,White,-2.5,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,-1.7717,7464.376,7465.921,False,False,False
gpt-5.2,White,0.0,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,0.6896,1615.81,1617.355,False,False,False
gpt-5.2,White,2.5,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,0.6265,2076.327,2077.872,False,False,False
gpt-5.2,White,5.0,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,-0.0464,4240.757,4242.302,False,False,False
gpt-5.2,White,7.5,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,0.4449,2905.257,2906.802,False,False,False
gpt-5.2,White,10.0,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,0.3405,3411.826,3413.371,False,False,False
gpt-5.2,White,12.5,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,0.2272,3411.826,3413.371,False,False,False
gpt-5.2,White,15.0,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,0.5183,2444.74,2446.285,False,False,False
gpt-5.2,White,17.5,16,0.0,0.0,0.0,0.0,3.989423,0.0,0.1,0.0,True,,0.6386,1892.12,1893.665,False,False,False
