illusion_strength,true_diff,n_trials,n_positive,prop_positive
-17.5,-17.5,1,0,0.0
-17.5,-14.69282,1,0,0.0
-17.5,-12.13089,1,0,0.0
-17.5,-9.81421,1,0,0.0
-17.5,-7.74279,1,0,0.0
-17.5,-5.91661,1,0,0.0
-17.5,-4.33568,1,1,1.0
-17.5,-3.0,1,1,1.0
-17.5,3.0,1,0,0.0
-17.5,4.33568,1,1,1.0
-17.5,5.91661,1,0,0.0
-17.5,7.74279,1,1,1.0
-17.5,9.81421,1,0,0.0
-17.5,12.13089,1,1,1.0
-17.5,14.69282,1,0,0.0
-17.5,17.5,1,1,1.0
-15.0,-17.5,1,0,0.0
-15.0,-14.69282,1,0,0.0
-15.0,-12.13089,1,0,0.0
-15.0,-9.81421,1,0,0.0
-15.0,-7.74279,1,0,0.0
-15.0,-5.91661,1,0,0.0
-15.0,-4.33568,1,1,1.0
-15.0,-3.0,1,1,1.0
-15.0,3.0,1,0,0.0
-15.0,4.33568,1,0,0.0
-15.0,5.91661,1,0,0.0
-15.0,7.74279,1,0,0.0
-15.0,9.81421,1,1,1.0
-15.0,12.13089,1,1,1.0
-15.0,14.69282,1,1,1.0
-15.0,17.5,1,1,1.0
-12.5,-17.5,1,0,0.0
-12.5,-14.69282,1,0,0.0
-12.5,-12.13089,1,0,0.0
-12.5,-9.81421,1,0,0.0
-12.5,-7.74279,1,0,0.0
-12.5,-5.91661,1,0,0.0
-12.5,-4.33568,1,0,0.0
-12.5,-3.0,1,1,1.0
-12.5,3.0,1,0,0.0
-12.5,4.33568,1,0,0.0
-12.5,5.91661,1,1,1.0
-12.5,7.74279,1,0,0.0
-12.5,9.81421,1,1,1.0
-12.5,12.13089,1,1,1.0
-12.5,14.69282,1,1,1.0
-12.5,17.5,1,1,1.0
-10.0,-17.5,1,0,0.0
-10.0,-14.69282,1,0,0.0
-10.0,-12.13089,1,0,0.0
-10.0,-9.81421,1,1,1.0
-10.0,-7.74279,1,0,0.0
-10.0,-5.91661,1,1,1.0
-10.0,-4.33568,1,0,0.0
-10.0,-3.0,1,1,1.0
-10.0,3.0,1,0,0.0
-10.0,4.33568,1,0,0.0
-10.0,5.91661,1,0,0.0
-10.0,7.74279,1,1,1.0
-10.0,9.81421,1,0,0.0
-10.0,12.13089,1,1,1.0
-10.0,14.69282,1,1,1.0
-10.0,17.5,1,1,1.0
-7.5,-17.5,1,0,0.0
-7.5,-14.69282,1,0,0.0
-7.5,-12.13089,1,1,1.0
-7.5,-9.81421,1,1,1.0
-7.5,-7.74279,1,1,1.0
-7.5,-5.91661,1,0,0.0
-7.5,-4.33568,1,1,1.0
-7.5,-3.0,1,1,1.0
-7.5,3.0,1,0,0.0
-7.5,4.33568,1,0,0.0
-7.5,5.91661,1,1,1.0
-7.5,7.74279,1,0,0.0
-7.5,9.81421,1,1,1.0
-7.5,12.13089,1,1,1.0
-7.5,14.69282,1,1,1.0
-7.5,17.5,1,1,1.0
-5.0,-17.5,1,0,0.0
-5.0,-14.69282,1,1,1.0
-5.0,-12.13089,1,0,0.0
-5.0,-9.81421,1,1,1.0
-5.0,-7.74279,1,1,1.0
-5.0,-5.91661,1,1,1.0
-5.0,-4.33568,1,1,1.0
-5.0,-3.0,1,1,1.0
-5.0,3.0,1,0,0.0
-5.0,4.33568,1,1,1.0
-5.0,5.91661,1,1,1.0
-5.0,7.74279,1,0,0.0
-5.0,9.81421,1,0,0.0
-5.0,12.13089,1,0,0.0
-5.0,14.69282,1,0,0.0
-5.0,17.5,1,1,1.0
-2.5,-17.5,1,0,0.0
-2.5,-14.69282,1,1,1.0
-2.5,-12.13089,1,1,1.0
-2.5,-9.81421,1,1,1.0
-2.5,-7.74279,1,1,1.0
-2.5,-5.91661,1,0,0.0
-2.5,-4.33568,1,1,1.0
-2.5,-3.0,1,1,1.0
-2.5,3.0,1,0,0.0
-2.5,4.33568,1,0,0.0
-2.5,5.91661,1,0,0.0
-2.5,7.74279,1,0,0.0
-2.5,9.81421,1,1,1.0
-2.5,12.13089,1,0,0.0
-2.5,14.69282,1,1,1.0
-2.5,17.5,1,1,1.0
0.0,-17.5,1,0,0.0
0.0,-14.69282,1,0,0.0
0.0,-12.13089,1,0,0.0
0.0,-9.81421,1,0,0.0
0.0,-7.74279,1,0,0.0
0.0,-5.91661,1,0,0.0
0.0,-4.33568,1,0,0.0
0.0,-3.0,1,0,0.0
0.0,3.0,1,0,0.0
0.0,4.33568,1,1,1.0
0.0,5.91661,1,1,1.0
0.0,7.74279,1,1,1.0
0.0,9.81421,1,1,1.0
0.0,12.13089,1,1,1.0
0.0,14.69282,1,1,1.0
0.0,17.5,1,1,1.0
2.5,-17.5,1,0,0.0
2.5,-14.69282,1,0,0.0
2.5,-12.13089,1,0,0.0
2.5,-9.81421,1,0,0.0
2.5,-7.74279,1,1,1.0
2.5,-5.91661,1,0,0.0
2.5,-4.33568,1,0,0.0
2.5,-3.0,1,0,0.0
2.5,3.0,1,0,0.0
2.5,4.33568,1,0,0.0
2.5,5.91661,1,1,1.0
2.5,7.74279,1,1,1.0
2.5,9.81421,1,1,1.0
2.5,12.13089,1,1,1.0
2.5,14.69282,1,1,1.0
2.5,17.5,1,1,1.0
5.0,-17.5,1,0,0.0
5.0,-14.69282,1,0,0.0
5.0,-12.13089,1,0,0.0
5.0,-9.81421,1,0,0.0
5.0,-7.74279,1,0,0.0
5.0,-5.91661,1,0,0.0
5.0,-4.33568,1,1,1.0
5.0,-3.0,1,0,0.0
5.0,3.0,1,1,1.0
5.0,4.33568,1,0,0.0
5.0,5.91661,1,0,0.0
5.0,7.74279,1,1,1.0
5.0,9.81421,1,1,1.0
5.0,12.13089,1,1,1.0
5.0,14.69282,1,1,1.0
5.0,17.5,1,1,1.0
7.5,-17.5,1,0,0.0
7.5,-14.69282,1,0,0.0
7.5,-12.13089,1,0,0.0
7.5,-9.81421,1,0,0.0
7.5,-7.74279,1,0,0.0
7.5,-5.91661,1,0,0.0
7.5,-4.33568,1,0,0.0
7.5,-3.0,1,0,0.0
7.5,3.0,1,1,1.0
7.5,4.33568,1,1,1.0
7.5,5.91661,1,0,0.0
7.5,7.74279,1,0,0.0
7.5,9.81421,1,0,0.0
7.5,12.13089,1,1,1.0
7.5,14.69282,1,1,1.0
7.5,17.5,1,1,1.0
10.0,-17.5,1,0,0.0
10.0,-14.69282,1,0,0.0
10.0,-12.13089,1,1,1.0
10.0,-9.81421,1,0,0.0
10.0,-7.74279,1,0,0.0
10.0,-5.91661,1,0,0.0
10.0,-4.33568,1,0,0.0
10.0,-3.0,1,0,0.0
10.0,3.0,1,1,1.0
10.0,4.33568,1,1,1.0
10.0,5.91661,1,1,1.0
10.0,7.74279,1,1,1.0
10.0,9.81421,1,0,0.0
10.0,12.13089,1,0,0.0
10.0,14.69282,1,1,1.0
10.0,17.5,1,1,1.0
12.5,-17.5,1,0,0.0
12.5,-14.69282,1,0,0.0
12.5,-12.13089,1,0,0.0
12.5,-9.81421,1,0,0.0
12.5,-7.74279,1,0,0.0
12.5,-5.91661,1,0,0.0
12.5,-4.33568,1,0,0.0
12.5,-3.0,1,0,0.0
12.5,3.0,1,1,1.0
12.5,4.33568,1,1,1.0
12.5,5.91661,1,1,1.0
12.5,7.74279,1,1,1.0
12.5,9.81421,1,0,0.0
12.5,12.13089,1,0,0.0
12.5,14.69282,1,0,0.0
12.5,17.5,1,1,1.0
15.0,-17.5,1,0,0.0
15.0,-14.69282,1,0,0.0
15.0,-12.13089,1,0,0.0
15.0,-9.81421,1,0,0.0
15.0,-7.74279,1,0,0.0
15.0,-5.91661,1,0,0.0
15.0,-4.33568,1,0,0.0
15.0,-3.0,1,0,0.0
15.0,3.0,1,1,1.0
15.0,4.33568,1,1,1.0
15.0,5.91661,1,1,1.0
15.0,7.74279,1,1,1.0
15.0,9.81421,1,1,1.0
15.0,12.13089,1,1,1.0
15.0,14.69282,1,0,0.0
15.0,17.5,1,0,0.0
17.5,-17.5,1,1,1.0
