illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-77.0,2.0,4.2027,1.8682,3.5972,True,
-66.0,2.0,2.4164,1.1846,1.7431,True,
-55.0,2.0,2.0575,0.8708,1.2015,True,
-44.0,2.0,1.3605,0.5335,0.6699,True,
-33.0,2.0,1.3605,0.5335,0.6699,True,
-22.0,2.0,2.0575,0.8708,1.2015,True,
-11.0,2.0,2.0575,0.8708,1.2015,True,
0.0,2.0,1.3605,0.5335,0.6699,True,
11.0,2.0,0.6722,0.4214,0.5801,True,
22.0,2.0,0.6488,0.2284,0.317,True,
33.0,1.8502,0.0799,0.0047,0.0011,True,
44.0,2.0,0.6722,0.4214,0.5801,True,
55.0,2.0,2.0575,0.8708,1.2015,True,
66.0,2.0,2.0575,0.8708,1.2015,True,
77.0,2.0,3.1273,1.3591,2.2479,True,
