illusion_strength,true_diff,n_trials,n_positive,prop_positive
-77.0,-4.15,10,0,0.0
-77.0,-3.0697,10,4,0.4
-77.0,-2.19531,10,0,0.0
-77.0,-1.50505,10,1,0.1
-77.0,-0.97717,10,5,0.5
-77.0,-0.58988,10,0,0.0
-77.0,-0.32141,10,0,0.0
-77.0,-0.15,10,0,0.0
-77.0,0.15,10,3,0.3
-77.0,0.32141,10,8,0.8
-77.0,0.58988,10,0,0.0
-77.0,0.97717,10,3,0.3
-77.0,1.50505,10,7,0.7
-77.0,2.19531,10,10,1.0
-77.0,3.0697,10,1,0.1
-77.0,4.15,10,3,0.3
-66.0,-4.15,10,1,0.1
-66.0,-3.0697,10,7,0.7
-66.0,-2.19531,10,0,0.0
-66.0,-1.50505,10,0,0.0
-66.0,-0.97717,10,0,0.0
-66.0,-0.58988,10,0,0.0
-66.0,-0.32141,10,0,0.0
-66.0,-0.15,10,0,0.0
-66.0,0.15,10,0,0.0
-66.0,0.32141,10,0,0.0
-66.0,0.58988,10,0,0.0
-66.0,0.97717,10,0,0.0
-66.0,1.50505,10,0,0.0
-66.0,2.19531,10,0,0.0
-66.0,3.0697,10,1,0.1
-66.0,4.15,10,0,0.0
-55.0,-4.15,10,0,0.0
-55.0,-3.0697,10,0,0.0
-55.0,-2.19531,10,0,0.0
-55.0,-1.50505,10,0,0.0
-55.0,-0.97717,10,1,0.1
-55.0,-0.58988,10,0,0.0
-55.0,-0.32141,10,0,0.0
-55.0,-0.15,10,0,0.0
-55.0,0.15,10,0,0.0
-55.0,0.32141,10,0,0.0
-55.0,0.58988,10,0,0.0
-55.0,0.97717,10,0,0.0
-55.0,1.50505,10,0,0.0
-55.0,2.19531,10,1,0.1
-55.0,3.0697,10,0,0.0
-55.0,4.15,10,3,0.3
-44.0,-4.15,10,0,0.0
-44.0,-3.0697,10,0,0.0
-44.0,-2.19531,10,0,0.0
-44.0,-1.50505,10,0,0.0
-44.0,-0.97717,10,0,0.0
-44.0,-0.58988,10,0,0.0
-44.0,-0.32141,10,0,0.0
-44.0,-0.15,10,0,0.0
-44.0,0.15,10,0,0.0
-44.0,0.32141,10,0,0.0
-44.0,0.58988,10,0,0.0
-44.0,0.97717,10,0,0.0
-44.0,1.50505,10,0,0.0
-44.0,2.19531,10,0,0.0
-44.0,3.0697,10,0,0.0
-44.0,4.15,10,1,0.1
-33.0,-4.15,10,0,0.0
-33.0,-3.0697,10,0,0.0
-33.0,-2.19531,10,0,0.0
-33.0,-1.50505,10,0,0.0
-33.0,-0.97717,10,0,0.0
-33.0,-0.58988,10,0,0.0
-33.0,-0.32141,10,0,0.0
-33.0,-0.15,10,0,0.0
-33.0,0.15,10,0,0.0
-33.0,0.32141,10,0,0.0
-33.0,0.58988,10,0,0.0
-33.0,0.97717,10,0,0.0
-33.0,1.50505,10,0,0.0
-33.0,2.19531,10,0,0.0
-33.0,3.0697,10,0,0.0
