species,illusion,k_abs,direction,n_levels,n_trials,pse,pse_fitted,crosses_half,pse_ci_low,pse_ci_high,sigma,lapse_lo,lapse_hi,fit_r2,converged,fit_status,reportable,max_drawdown,pse_abs_frac
gpt-5.2,Contrast,1.0,-1,8,800,3.03318,3.03318,True,2.83088,3.29239,0.44077,0.0,0.0,1.0,True,measured,True,0.0,0.2064
gpt-5.2,Contrast,1.0,1,8,800,-3.72685,-3.72685,True,-3.99434,-3.05812,0.94128,0.0,0.0,1.0,True,measured,True,0.0,0.2537
gpt-5.2,Contrast,2.0,-1,8,800,1.84971,1.84971,True,0.93541,2.63646,2.65159,0.0,0.0,0.99797,True,measured,True,0.0,0.1057
gpt-5.2,Contrast,2.0,1,8,800,-4.67029,-4.67029,True,-4.9851,-4.34427,1.32074,0.0,0.0,1.0,True,measured,True,0.0,0.2669
gpt-5.2,Contrast,3.0,-1,8,800,4.13523,4.13523,True,3.58766,4.64254,2.78796,0.0,0.0397,0.9852,True,measured,True,0.07,0.2814
gpt-5.2,Contrast,3.0,1,8,800,-7.85083,-7.85083,True,-8.54628,-7.16568,4.98519,0.0,0.0,0.58791,True,unreliable,False,0.69,0.5343
gpt-5.2,Contrast,4.0,-1,8,800,4.76158,4.76158,True,3.7981,5.55891,2.72752,0.0,0.26618,0.954,True,measured,True,0.28,0.2721
gpt-5.2,Contrast,4.0,1,8,800,-4.34907,-4.34907,True,-4.63866,-4.04196,0.50201,0.06,0.0,0.99008,True,measured,True,0.16,0.2485
gpt-5.2,Contrast,5.0,-1,8,800,5.92151,5.92151,True,5.52714,6.38715,0.47337,0.0,0.395,0.99991,True,measured,True,0.01,0.403
gpt-5.2,Contrast,5.0,1,8,800,4.1294,4.1294,True,3.22437,5.04653,3.74847,0.32414,0.0,0.71515,True,unreliable,False,0.44,0.281
gpt-5.2,Contrast,6.0,-1,8,800,9.1334,9.1334,True,7.96105,9.95611,6.06987,0.0,0.0,0.95895,True,measured,True,0.0,0.5219
gpt-5.2,Contrast,6.0,1,8,800,2.52899,2.52899,True,-4.19714,4.20052,0.07,0.2875,0.0025,0.80879,True,unreliable,False,0.58,0.1445
gpt-5.2,Contrast,7.0,-1,8,800,4.24566,4.24566,True,3.1068,5.87507,0.05877,0.0,0.45,0.96501,False,measured,True,0.06,0.289
gpt-5.2,Contrast,7.0,1,8,800,2.92949,2.92949,True,2.18094,3.1729,0.33604,0.405,0.00333,0.60273,True,unreliable,False,0.72,0.1994
gpt-5.2,Ebbinghaus,1.0,-1,8,800,-0.17535,-0.17535,True,-0.21153,-0.16539,0.01762,0.005,0.0,0.99996,True,measured,True,0.0,0.3181
gpt-5.2,Ebbinghaus,1.0,1,8,800,-0.13239,-0.13239,True,-0.14734,-0.11771,0.08286,0.0,0.00496,0.99865,True,measured,True,0.02,0.2402
gpt-5.2,Ebbinghaus,2.0,-1,8,800,-0.05001,-0.05001,True,-0.07128,-0.02837,0.1225,0.0,0.0,0.99768,True,measured,True,0.0,0.0714
gpt-5.2,Ebbinghaus,2.0,1,8,800,-0.20606,-0.20606,True,-0.22927,-0.18295,0.14747,0.0,0.0,0.9971,True,measured,True,0.0,0.2944
gpt-5.2,Ebbinghaus,3.0,-1,8,800,0.05863,0.05863,True,0.03197,0.08599,0.24026,0.0,0.0,0.71573,True,unreliable,False,0.5,0.1064
gpt-5.2,Ebbinghaus,3.0,1,8,800,0.0218,0.0218,True,-0.01987,0.06016,0.13124,0.11117,0.0,0.95651,True,measured,True,0.0,0.0395
gpt-5.2,Ebbinghaus,4.0,-1,8,800,-0.05858,-0.05858,True,-0.10698,0.00648,0.02967,0.00333,0.07,0.98166,True,measured,True,0.17,0.0837
gpt-5.2,Ebbinghaus,4.0,1,8,800,-0.14415,-0.14415,True,-0.30622,-0.10974,0.29596,0.0,0.0,0.83894,True,unreliable,False,0.39,0.2059
gpt-5.2,Ebbinghaus,5.0,-1,8,800,-0.03283,-0.03283,True,-0.06757,0.06794,0.0022,0.015,0.1225,0.98597,True,measured,True,0.01,0.0596
gpt-5.2,Ebbinghaus,5.0,1,8,800,0.04775,0.04775,True,-0.00723,0.06775,0.01514,0.3375,0.00333,0.96448,True,measured,True,0.24,0.0866
gpt-5.2,Ebbinghaus,6.0,-1,8,800,-0.0088,-0.0088,True,-0.04039,0.02362,0.12918,0.0,0.11552,0.97206,True,measured,True,0.08,0.0126
gpt-5.2,Ebbinghaus,6.0,1,8,800,-0.25185,-0.25185,True,-0.2825,-0.22144,0.2225,0.0,0.0,0.89861,True,measured,True,0.26,0.3598
gpt-5.2,Ebbinghaus,7.0,-1,8,800,-0.10685,-0.10685,True,-0.11826,-0.0955,0.04363,0.005,0.07748,0.99181,True,measured,True,0.0,0.1938
gpt-5.2,Ebbinghaus,7.0,1,8,800,-0.21548,-0.21548,True,-0.23289,-0.19794,0.08274,0.01053,0.00907,0.99813,True,measured,True,0.01,0.3909
gpt-5.2,MullerLyer,1.0,-1,8,880,0.14141,0.14141,True,0.10943,0.1608,0.04375,0.0,0.29568,0.99987,True,measured,True,0.0,0.3942
gpt-5.2,MullerLyer,1.0,1,8,880,0.05801,0.05801,True,0.04567,0.07087,0.09797,0.0,0.0,0.97212,True,measured,True,0.0,0.1617
gpt-5.2,MullerLyer,2.0,-1,8,880,0.25135,0.25135,True,0.21877,0.27902,0.13089,0.0,0.02264,0.98033,True,measured,True,0.0,0.5464
gpt-5.2,MullerLyer,2.0,1,8,880,0.01097,0.01097,True,-0.00265,0.02461,0.08995,0.0,0.0,0.99651,True,measured,True,0.0,0.0238
gpt-5.2,MullerLyer,3.0,-1,8,880,0.22329,0.22329,True,0.19618,0.27506,0.08012,0.0,0.1728,0.99877,True,measured,True,0.0,0.6225
gpt-5.2,MullerLyer,3.0,1,8,880,-0.00939,-0.00939,True,-0.03824,0.00024,0.02315,0.01207,0.03931,0.99407,True,measured,True,0.0636,0.0262
gpt-5.2,MullerLyer,4.0,-1,8,880,0.27268,0.27268,True,0.25964,0.28467,0.02005,0.0,0.15455,1.0,True,measured,True,0.0,0.5928
gpt-5.2,MullerLyer,4.0,1,8,880,-0.04246,-0.04246,True,-0.05542,-0.02824,0.06819,0.0127,0.0,0.98754,True,measured,True,0.0,0.0923
gpt-5.2,MullerLyer,5.0,-1,8,880,0.3587,0.2405,False,0.19445,0.29905,0.10094,0.0,0.45,0.92332,False,bounded,True,0.0,0.6705
gpt-5.2,MullerLyer,5.0,1,8,880,-0.08027,-0.08027,True,-0.09111,-0.06708,0.07305,0.0,0.0,0.98794,True,measured,True,0.0,0.2238
gpt-5.2,MullerLyer,6.0,-1,8,880,0.35997,0.35997,True,0.31109,0.37982,0.10347,0.0,0.0,0.99967,True,measured,True,0.0,0.7825
gpt-5.2,MullerLyer,6.0,1,8,880,-0.10346,-0.10346,True,-0.11319,-0.09315,0.04808,0.01787,0.00205,0.9995,True,measured,True,0.0,0.2249
gpt-5.2,MullerLyer,7.0,-1,8,880,0.3587,0.366,False,0.3531,0.46483,0.02762,0.0,0.44875,1.0,True,bounded,True,0.0,1.0204
gpt-5.2,MullerLyer,7.0,1,8,880,-0.16576,-0.16576,True,-0.18339,-0.14945,0.1266,0.0,0.0,0.89501,True,measured,True,0.2,0.4621
gpt-5.2,Ponzo,1.0,-1,8,800,0.09965,0.09965,True,0.08427,0.11591,0.12275,0.0,0.0,0.93955,True,measured,True,0.16,0.2778
gpt-5.2,Ponzo,1.0,1,8,800,0.02026,0.02026,True,0.00818,0.03247,0.09107,0.0,0.0,0.91261,True,measured,True,0.12,0.0565
gpt-5.2,Ponzo,2.0,-1,8,800,0.06337,0.06337,True,0.04632,0.08086,0.12702,0.0,0.0,0.85357,True,measured,True,0.27,0.1378
gpt-5.2,Ponzo,2.0,1,8,800,0.06506,0.06506,True,0.05265,0.1057,0.06811,0.0,0.0,0.95667,True,measured,True,0.0,0.1414
gpt-5.2,Ponzo,3.0,-1,8,800,0.04495,0.04495,True,0.03291,0.05735,0.08875,0.0,0.0,0.99109,True,measured,True,0.0,0.1253
gpt-5.2,Ponzo,3.0,1,8,800,-0.01177,-0.01177,True,-0.07499,0.00101,0.09946,0.0,0.0,0.84856,True,unreliable,False,0.4,0.0328
gpt-5.2,Ponzo,4.0,-1,8,800,0.06828,0.06828,True,0.05623,0.08411,0.05388,0.0,0.03025,0.99428,True,measured,True,0.01,0.1484
gpt-5.2,Ponzo,4.0,1,8,800,-0.01765,-0.01765,True,-0.06352,-0.0052,0.03572,0.0,0.0,1.0,True,measured,True,0.0,0.0384
gpt-5.2,Ponzo,5.0,-1,8,800,0.02879,0.02879,True,0.01819,0.03954,0.0727,0.0,0.0,0.98681,True,measured,True,0.0,0.0803
gpt-5.2,Ponzo,5.0,1,8,800,-0.01169,-0.01169,True,-0.02009,-0.00329,0.04642,0.0,0.0,0.99425,True,measured,True,0.0,0.0326
gpt-5.2,Ponzo,6.0,-1,8,800,0.01841,0.01841,True,0.00485,0.03148,0.05957,0.0,0.01216,0.99968,True,measured,True,0.0,0.04
gpt-5.2,Ponzo,6.0,1,8,800,0.02916,0.02916,True,0.01676,0.04129,0.06279,0.0,0.0,0.99928,True,measured,True,0.0,0.0634
gpt-5.2,Ponzo,7.0,-1,8,800,0.03289,0.03289,True,0.0235,0.04243,0.05795,0.0,0.0,0.98759,True,measured,True,0.0,0.0917
gpt-5.2,Ponzo,7.0,1,8,800,-0.08325,-0.08325,True,-0.09538,-0.07174,0.07756,0.0,0.0,0.98495,True,measured,True,0.0,0.2321
