species,illusion,k_abs,n_cells,n_trials,grid_max,illusion_strength_abs,illusion_magnitude,magnitude_ci_low,magnitude_ci_high,magnitude_pct,magnitude_pct_ci_low,magnitude_pct_ci_high,side_bias,sigma,fit_r2,converged,saturated,magnitude_jnd,magnitude_jnd_ci_low,magnitude_jnd_ci_high,baseline_jnd,reportable,exceeds_grid,ci_width_pct,unconstrained,fit_status
human,Contrast,1.0,16,4096,14.69282,4.5,1.71486,1.39163,2.98937,11.671,9.471,20.346,0.41945,2.48705,0.99563,True,False,1.2989,1.0541,2.2643,1.32022,True,False,10.875,False,measured
human,Contrast,2.0,16,4096,17.5,9.0,4.35267,3.96655,4.66864,24.872,22.666,26.678,0.49196,2.96181,0.99942,True,False,3.2969,3.0045,3.5363,1.32022,True,False,4.012,False,measured
human,Contrast,3.0,16,4096,14.69282,13.5,6.62824,6.29403,6.95722,45.112,42.837,47.351,0.48838,4.50149,0.99558,True,False,5.0206,4.7674,5.2697,1.32022,True,False,4.514,False,measured
human,Contrast,4.0,16,4096,17.5,18.0,7.16749,6.79224,7.53021,40.957,38.813,43.03,0.8987,5.14007,0.99788,True,False,5.429,5.1448,5.7038,1.32022,True,False,4.217,False,measured
human,Contrast,5.0,16,4096,14.69282,22.5,9.84057,9.38047,10.32516,66.975,63.844,70.274,0.75895,6.73229,0.99765,True,False,7.4537,7.1052,7.8208,1.32022,True,False,6.43,False,measured
human,Contrast,6.0,16,4096,17.5,27.0,10.20406,9.76628,10.64725,58.309,55.807,60.841,1.4399,6.8107,0.99871,True,False,7.7291,7.3975,8.0648,1.32022,True,False,5.034,False,measured
human,Contrast,7.0,16,4096,14.69282,31.5,12.83428,12.20751,13.55997,87.351,83.085,92.29,1.25748,7.60789,0.99772,True,False,9.7213,9.2466,10.271,1.32022,True,False,9.205,False,measured
human,Delboeuf,1.0,16,4096,0.55124,0.31,0.04397,0.03255,0.05555,7.977,5.905,10.077,0.00644,0.15845,0.99399,True,False,0.398,0.2947,0.5029,0.11047,True,False,4.172,False,measured
human,Delboeuf,2.0,16,4096,0.7,0.62,0.0638,0.05011,0.07754,9.114,7.159,11.077,-0.01139,0.19151,0.99409,True,False,0.5775,0.4536,0.7019,0.11047,True,False,3.918,False,measured
human,Delboeuf,3.0,16,4096,0.55124,0.93,0.12146,0.10569,0.13744,22.034,19.173,24.933,0.00512,0.24066,0.98893,True,False,1.0995,0.9567,1.2441,0.11047,True,False,5.76,False,measured
human,Delboeuf,4.0,16,4096,0.7,1.24,0.15558,0.13884,0.17246,22.226,19.834,24.637,-0.00507,0.2795,0.99027,True,False,1.4083,1.2568,1.5611,0.11047,True,False,4.803,False,measured
human,Delboeuf,5.0,16,4096,0.55124,1.55,0.19417,0.17863,0.21016,35.224,32.405,38.125,-0.00717,0.27603,0.99294,True,False,1.7577,1.617,1.9024,0.11047,True,False,5.72,False,measured
human,Delboeuf,6.0,16,4096,0.7,1.86,0.25194,0.23438,0.26982,35.991,33.483,38.546,-0.01303,0.3179,0.98558,True,False,2.2806,2.1217,2.4425,0.11047,True,False,5.063,False,measured
human,Delboeuf,7.0,16,4096,0.55124,2.17,0.27861,0.26093,0.29718,50.542,47.335,53.911,-0.02602,0.29011,0.99742,True,False,2.522,2.362,2.6901,0.11047,True,False,6.576,False,measured
human,Ebbinghaus,1.0,16,4096,0.55124,0.29,0.03849,0.02936,0.0477,6.982,5.326,8.653,-0.00386,0.12685,0.99868,True,False,0.3346,0.2552,0.4147,0.11503,True,False,3.327,False,measured
human,Ebbinghaus,2.0,16,4096,0.7,0.58,0.0773,0.06686,0.0876,11.043,9.551,12.514,-0.00786,0.12121,0.99885,True,False,0.672,0.5812,0.7615,0.11503,True,False,2.963,False,measured
human,Ebbinghaus,3.0,16,4096,0.55124,0.87,0.14712,0.13685,0.15754,26.689,24.826,28.579,-0.01174,0.14244,0.99928,True,False,1.279,1.1897,1.3696,0.11503,True,False,3.753,False,measured
human,Ebbinghaus,4.0,16,4096,0.7,1.16,0.19482,0.18372,0.20588,27.831,26.246,29.411,-0.01775,0.14488,0.99839,True,False,1.6936,1.5971,1.7898,0.11503,True,False,3.165,False,measured
human,Ebbinghaus,5.0,16,4096,0.55124,1.45,0.25993,0.2467,0.2735,47.154,44.754,49.615,-0.00463,0.18235,0.99848,True,False,2.2597,2.1447,2.3776,0.11503,True,False,4.861,False,measured
human,Ebbinghaus,6.0,16,4096,0.7,1.74,0.29161,0.27752,0.30595,41.659,39.646,43.707,-0.01608,0.20695,0.99855,True,False,2.5351,2.4126,2.6597,0.11503,True,False,4.061,False,measured
human,Ebbinghaus,7.0,16,4096,0.55124,2.03,0.34775,0.33266,0.36348,63.085,60.348,65.939,-0.02117,0.20591,0.99678,True,False,3.0231,2.8919,3.1599,0.11503,True,False,5.591,False,measured
human,MullerLyer,1.0,16,4096,0.3587,7.0,0.09076,0.08482,0.09679,25.302,23.647,26.984,-0.02234,0.07808,0.99776,True,False,1.6742,1.5647,1.7855,0.05421,True,False,3.337,False,measured
