species,illusion,illusion_strength,err_pos_diff,err_neg_diff,err_overall,err_ci_low,err_ci_high,asymmetry,n_errors,n_trials
human,Contrast,-31.5,0.05957,0.0498,0.05469,0.04565,0.06539,0.00977,112,2048
human,Contrast,-27.0,0.03906,0.03027,0.03467,0.02758,0.0435,0.00879,71,2048
human,Contrast,-22.5,0.05957,0.06152,0.06055,0.05102,0.07172,-0.00195,124,2048
human,Contrast,-18.0,0.0332,0.02637,0.02979,0.02326,0.03807,0.00684,61,2048
human,Contrast,-13.5,0.05859,0.05078,0.05469,0.04565,0.06539,0.00781,112,2048
human,Contrast,-9.0,0.03027,0.02148,0.02588,0.01984,0.03369,0.00879,53,2048
human,Contrast,-4.5,0.05273,0.04297,0.04785,0.03942,0.05797,0.00977,98,2048
human,Contrast,0.0,0.02237,0.02187,0.02212,0.01801,0.02714,0.0005,89,4024
human,Contrast,4.5,0.13086,0.09277,0.11182,0.09889,0.1262,0.03809,229,2048
human,Contrast,9.0,0.19629,0.1377,0.16699,0.15147,0.18377,0.05859,342,2048
human,Contrast,13.5,0.44336,0.3877,0.41553,0.39436,0.43701,0.05566,851,2048
human,Contrast,18.0,0.39062,0.30176,0.34619,0.32589,0.36707,0.08887,709,2048
human,Contrast,22.5,0.60156,0.54004,0.5708,0.54925,0.59209,0.06152,1169,2048
human,Contrast,27.0,0.55762,0.43164,0.49463,0.47301,0.51627,0.12598,1013,2048
human,Contrast,31.5,0.72266,0.62891,0.67578,0.6552,0.69571,0.09375,1384,2048
human,Ebbinghaus,-2.03,0.03809,0.05273,0.04541,0.03721,0.05531,-0.01465,93,2048
human,Ebbinghaus,-1.74,0.02441,0.02344,0.02393,0.01814,0.03149,0.00098,49,2048
human,Ebbinghaus,-1.45,0.04102,0.05273,0.04688,0.03854,0.05691,-0.01172,96,2048
human,Ebbinghaus,-1.16,0.02734,0.01855,0.02295,0.0173,0.03038,0.00879,47,2048
human,Ebbinghaus,-0.87,0.04395,0.06934,0.05664,0.04743,0.06751,-0.02539,116,2048
human,Ebbinghaus,-0.58,0.02539,0.03223,0.02881,0.0224,0.03698,-0.00684,59,2048
human,Ebbinghaus,-0.29,0.07227,0.09961,0.08594,0.07456,0.09886,-0.02734,176,2048
human,Ebbinghaus,0.0,0.08797,0.08052,0.08424,0.07605,0.09323,0.00746,339,4024
human,Ebbinghaus,0.29,0.14551,0.1748,0.16016,0.14491,0.17667,-0.0293,328,2048
human,Ebbinghaus,0.58,0.12695,0.13574,0.13135,0.11741,0.14667,-0.00879,269,2048
human,Ebbinghaus,0.87,0.30371,0.35547,0.32959,0.30957,0.35025,-0.05176,675,2048
human,Ebbinghaus,1.16,0.27344,0.3252,0.29932,0.27987,0.31951,-0.05176,613,2048
human,Ebbinghaus,1.45,0.48438,0.50391,0.49414,0.47252,0.51578,-0.01953,1012,2048
human,Ebbinghaus,1.74,0.41309,0.44336,0.42822,0.40695,0.44977,-0.03027,877,2048
human,Ebbinghaus,2.03,0.57617,0.63184,0.604,0.58265,0.62497,-0.05566,1237,2048
human,MullerLyer,-49.0,0.03418,0.03125,0.03271,0.02584,0.04134,0.00293,67,2048
human,MullerLyer,-42.0,0.02441,0.01367,0.01904,0.01396,0.02593,0.01074,39,2048
human,MullerLyer,-35.0,0.03613,0.03418,0.03516,0.02801,0.04404,0.00195,72,2048
human,MullerLyer,-28.0,0.01562,0.0166,0.01611,0.0115,0.02254,-0.00098,33,2048
human,MullerLyer,-21.0,0.04102,0.03027,0.03564,0.02844,0.04458,0.01074,73,2048
human,MullerLyer,-14.0,0.01074,0.01367,0.01221,0.00828,0.01796,-0.00293,25,2048
human,MullerLyer,-7.0,0.04785,0.05469,0.05127,0.04253,0.06169,-0.00684,105,2048
human,MullerLyer,0.0,0.05815,0.07753,0.06784,0.06048,0.07603,-0.01938,273,4024
human,MullerLyer,7.0,0.27539,0.37988,0.32764,0.30765,0.34827,-0.10449,671,2048
human,MullerLyer,14.0,0.36621,0.46094,0.41357,0.39243,0.43505,-0.09473,847,2048
human,MullerLyer,21.0,0.5918,0.69629,0.64404,0.62305,0.66449,-0.10449,1319,2048
human,MullerLyer,28.0,0.59375,0.66406,0.62891,0.60776,0.64957,-0.07031,1288,2048
human,MullerLyer,35.0,0.75488,0.82715,0.79102,0.77287,0.80807,-0.07227,1620,2048
human,MullerLyer,42.0,0.7334,0.76074,0.74707,0.72779,0.76542,-0.02734,1530,2048
human,MullerLyer,49.0,0.80957,0.83691,0.82324,0.80612,0.83915,-0.02734,1686,2048
human,Ponzo,-25.2,0.03125,0.03027,0.03076,0.02412,0.03916,0.00098,63,2048
human,Ponzo,-21.6,0.02148,0.0166,0.01904,0.01396,0.02593,0.00488,39,2048
human,Ponzo,-18.0,0.02539,0.04199,0.03369,0.02671,0.04242,-0.0166,69,2048
human,Ponzo,-14.4,0.01562,0.01562,0.01562,0.01109,0.02197,0.0,32,2048
human,Ponzo,-10.8,0.06152,0.05078,0.05615,0.04699,0.06698,0.01074,115,2048
human,Ponzo,-7.2,0.03027,0.0293,0.02979,0.02326,0.03807,0.00098,61,2048
human,Ponzo,-3.6,0.06836,0.07227,0.07031,0.06002,0.08221,-0.00391,144,2048
human,Ponzo,0.0,0.10189,0.06809,0.08499,0.07676,0.09401,0.0338,342,4024
human,Ponzo,3.6,0.21094,0.18066,0.1958,0.17919,0.21355,0.03027,401,2048
human,Ponzo,7.2,0.20605,0.16016,0.18311,0.16695,0.20044,0.0459,375,2048
human,Ponzo,10.8,0.31445,0.33594,0.3252,0.30525,0.34579,-0.02148,666,2048
human,Ponzo,14.4,0.28906,0.30176,0.29541,0.27605,0.31554,-0.0127,605,2048
human,Ponzo,18.0,0.40039,0.46973,0.43506,0.41373,0.45663,-0.06934,891,2048
human,Ponzo,21.6,0.41992,0.48633,0.45312,0.43167,0.47475,-0.06641,928,2048
human,Ponzo,25.2,0.68848,0.77539,0.73193,0.71233,0.75067,-0.08691,1499,2048
human,VerticalHorizontal,-66.5,0.03809,0.03125,0.03467,0.02758,0.0435,0.00684,71,2048
human,VerticalHorizontal,-57.0,0.02441,0.02246,0.02344,0.01772,0.03094,0.00195,48,2048
human,VerticalHorizontal,-47.5,0.03809,0.03906,0.03857,0.03106,0.04782,-0.00098,79,2048
