illusion_strength,true_diff,n_trials,n_positive,prop_positive,illusion,strength_sign_flipped,shared,species,k_abs,direction
-49.0,-0.46,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-49.0,-0.3587,110,0,0.0,MullerLyer,False,True,gpt-5.2,7.0,-1.0
-49.0,-0.27349,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-49.0,-0.20297,110,0,0.0,MullerLyer,False,True,gpt-5.2,7.0,-1.0
-49.0,-0.14575,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-49.0,-0.10044,110,0,0.0,MullerLyer,False,True,gpt-5.2,7.0,-1.0
-49.0,-0.06565,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-49.0,-0.04,110,0,0.0,MullerLyer,False,True,gpt-5.2,7.0,-1.0
-49.0,0.04,110,109,0.990909090909091,MullerLyer,False,True,gpt-5.2,7.0,1.0
-49.0,0.06565,110,107,0.9727272727272728,MullerLyer,False,False,gpt-5.2,,
-49.0,0.10044,110,110,1.0,MullerLyer,False,True,gpt-5.2,7.0,1.0
-49.0,0.14575,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-49.0,0.20297,110,110,1.0,MullerLyer,False,True,gpt-5.2,7.0,1.0
-49.0,0.27349,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-49.0,0.3587,110,110,1.0,MullerLyer,False,True,gpt-5.2,7.0,1.0
-49.0,0.46,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-49.0,0.57877,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-49.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-49.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-49.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-42.0,-0.46,110,0,0.0,MullerLyer,False,True,gpt-5.2,6.0,-1.0
-42.0,-0.3587,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-42.0,-0.27349,110,0,0.0,MullerLyer,False,True,gpt-5.2,6.0,-1.0
