species,illusion,k_abs,p_slope,p_full,sigma_dir_pos,sigma_dir_neg,magnitude_shared,magnitude_slope_free,converged,rejects_shared_slope
human,Contrast,1.0,0.0007958737733075116,1.7595580430193326e-05,2.60571,0.56339,1.71486,2.06377,True,True
human,Contrast,2.0,0.9370065372102834,0.0007415502958302692,2.98181,2.94608,4.35267,4.3497,True,False
human,Contrast,3.0,0.9769117920372672,0.0022177993605412226,4.49402,4.50739,6.62824,6.62861,True,False
human,Contrast,4.0,0.5956196808141028,0.036388252022642086,4.98854,5.25095,7.16749,7.1817,True,False
human,Contrast,5.0,0.312566367828212,0.5690179580102603,7.09226,6.30553,9.84057,9.8178,True,False
human,Contrast,6.0,0.14520921554230842,0.386168920650715,7.26808,6.35456,10.20406,10.1577,True,False
human,Contrast,7.0,0.9842260872934302,0.3776089298272555,7.5991,7.61904,12.83428,12.83583,True,False
human,Ebbinghaus,1.0,0.5255587995887174,0.7466020611225228,0.12397,0.13097,0.03849,0.03843,True,False
human,Ebbinghaus,2.0,0.7526668038919683,0.9891007512817668,0.11913,0.12267,0.0773,0.0774,True,False
human,Ebbinghaus,3.0,0.876210895889507,0.8404676868280573,0.14144,0.14348,0.14712,0.14707,True,False
human,Ebbinghaus,4.0,0.8135520135132932,0.821648200602253,0.14676,0.14337,0.19482,0.19478,True,False
human,Ebbinghaus,5.0,0.975245944228908,0.2488670703129609,0.18259,0.1821,0.25993,0.25993,True,False
human,Ebbinghaus,6.0,0.4068003844329833,0.16269232145240775,0.21366,0.19986,0.29161,0.29162,True,False
human,Ebbinghaus,7.0,0.2790305175449743,0.18946197357407132,0.21642,0.19642,0.34775,0.34818,True,False
human,MullerLyer,1.0,0.9053186667431149,0.4300947800094821,0.07766,0.07852,0.09076,0.09075,True,False
human,MullerLyer,2.0,0.9381276205472082,0.43390700994919673,0.08689,0.08629,0.17279,0.17281,True,False
human,MullerLyer,3.0,0.5271563631171005,0.8329865026765353,0.10055,0.1065,0.2369,0.23699,True,False
human,MullerLyer,4.0,0.6963107529384973,0.6216302830677156,0.1173,0.12107,0.29719,0.29719,True,False
human,MullerLyer,5.0,0.6336674351496137,1.0,0.14257,0.13335,0.34422,0.34534,True,False
human,MullerLyer,6.0,0.9471731510585412,0.041107376232090286,0.15407,0.15308,0.38897,0.389,True,False
human,MullerLyer,7.0,0.364105896897,0.7375741193129541,0.18972,0.16475,0.39457,0.39666,True,False
human,Ponzo,1.0,0.777132561211766,0.5300693505763954,0.06747,0.06557,0.03942,0.03945,True,False
human,Ponzo,2.0,0.35164609286571646,0.628647378901307,0.08235,0.08967,0.06845,0.06844,True,False
human,Ponzo,3.0,0.34351799149533946,0.09203351994944205,0.08543,0.07821,0.08772,0.08778,True,False
human,Ponzo,4.0,0.4356114518749781,0.000465956086865756,0.10076,0.10743,0.11928,0.11929,True,False
human,Ponzo,5.0,0.6891564748555004,4.148201726631468e-06,0.10152,0.10557,0.13585,0.13575,True,False
human,Ponzo,6.0,0.9123754282022507,1.324618385074988e-08,0.14466,0.14341,0.20275,0.2027,True,False
human,Ponzo,7.0,0.8932926596838362,0.018958843410947317,0.16841,0.17077,0.31642,0.31621,True,False
human,VerticalHorizontal,1.0,0.08995347371130136,0.020366888374378184,0.07704,0.06739,0.03325,0.03346,True,False
human,VerticalHorizontal,2.0,0.2389931071320403,6.579466254675457e-05,0.09498,0.08751,0.07374,0.07361,True,False
