illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-2.03,-0.0814,0.0178,0.0024,0.003,True,
-1.74,-0.0865,0.0188,0.0021,0.0021,True,
-1.45,0.012,0.0603,0.0158,0.0132,True,
-1.16,-0.0859,0.0141,0.0083,0.0067,True,
-0.87,-0.028,0.1545,0.025,0.0325,True,
-0.58,-0.0987,0.0186,0.0022,0.0027,True,
-0.29,-0.2456,0.065,0.0089,0.0122,True,
0.0,-0.1908,0.0602,0.005,0.0068,True,
0.29,-0.1062,0.1069,0.0112,0.0193,True,
0.58,-0.2742,0.174,0.0246,0.0358,True,
0.87,0.0129,0.3857,0.0721,0.119,True,
1.16,-0.1842,0.2264,0.0217,0.0336,True,
1.45,-0.049,0.343,0.0484,0.0774,True,
1.74,-0.2011,0.3966,0.0565,0.0919,True,
2.03,-0.2196,0.1932,0.0278,0.0431,True,
