model,illusion,illusion_strength,n_points_used,PSE,PSE_SE,PSE_CI_low,PSE_CI_high,slope,slope_SE,sigma,sigma_SE,converged,fit_status,fit_R2,AIC,BIC,boundary_hit,monotonicity_warning,flat_curve_warning
gpt-5.2,MullerLyer,-49.0,20,0.007,0.0269,-0.0457,0.0597,28.495877,23.203786,0.014,0.0114,True,,0.9998,82.544,84.535,False,False,False
gpt-5.2,MullerLyer,-42.0,20,0.0081,0.0162,-0.0237,0.0399,29.55128,14.885089,0.0135,0.0068,True,,1.0,38.443,40.434,False,False,False
gpt-5.2,MullerLyer,-35.0,20,0.0108,0.0031,0.0047,0.0169,21.800125,2.263401,0.0183,0.0019,True,,0.9999,77.871,79.863,False,False,False
gpt-5.2,MullerLyer,-28.0,20,0.0189,0.0013,0.0164,0.0214,17.121986,0.955304,0.0233,0.0013,True,,0.9999,170.756,172.748,False,False,False
gpt-5.2,MullerLyer,-21.0,20,0.0098,0.0092,-0.0082,0.0278,12.389512,3.039663,0.0322,0.0079,True,,0.9781,606.574,608.565,False,False,False
gpt-5.2,MullerLyer,-14.0,20,0.0331,0.0024,0.0284,0.0378,8.806673,0.680427,0.0453,0.0035,True,,0.9975,451.36,453.351,False,False,False
gpt-5.2,MullerLyer,-7.0,20,0.0644,0.0047,0.0552,0.0736,6.444948,0.853773,0.0619,0.0082,True,,0.9891,526.822,528.813,False,False,False
gpt-5.2,MullerLyer,0.0,20,0.0515,0.0072,0.0374,0.0656,5.270043,0.765792,0.0757,0.011,True,,0.9804,597.398,599.389,False,False,False
gpt-5.2,MullerLyer,7.0,20,0.2072,0.0145,0.1788,0.2356,3.386607,0.572101,0.1178,0.0199,True,,0.959,1146.634,1148.625,False,False,False
gpt-5.2,MullerLyer,14.0,20,0.2367,0.0137,0.2098,0.2636,3.511816,0.568815,0.1136,0.0184,True,,0.9647,1394.59,1396.581,False,False,False
gpt-5.2,MullerLyer,21.0,20,0.2245,0.0089,0.2071,0.2419,4.55934,0.625281,0.0875,0.012,True,,0.9809,1197.557,1199.549,False,False,False
gpt-5.2,MullerLyer,28.0,20,0.2785,0.0168,0.2456,0.3114,7.470829,3.581521,0.0534,0.0256,True,,0.8995,5785.45,5787.442,False,False,False
gpt-5.2,MullerLyer,35.0,20,0.3136,0.0668,0.1827,0.4445,1.455463,0.484269,0.2741,0.0912,True,,0.6942,1812.33,1814.321,False,False,False
gpt-5.2,MullerLyer,42.0,20,0.3346,0.1046,0.1296,0.5396,0.956008,0.353263,0.4173,0.1542,True,,0.5203,2150.949,2152.941,False,False,False
gpt-5.2,MullerLyer,49.0,20,0.4053,0.1791,0.0543,0.7563,0.57734,0.266195,0.691,0.3186,True,,0.2948,2547.457,2549.448,False,False,False
