illusion_strength,true_diff,n_trials,n_positive,prop_positive
-49.0,-0.46,110,0,0.0
-49.0,-0.3587,110,0,0.0
-49.0,-0.27349,110,0,0.0
-49.0,-0.20297,110,0,0.0
-49.0,-0.14575,110,0,0.0
-49.0,-0.10044,110,0,0.0
-49.0,-0.06565,110,0,0.0
-49.0,-0.04,110,0,0.0
-49.0,0.04,110,109,0.990909090909091
-49.0,0.06565,110,107,0.9727272727272728
-49.0,0.10044,110,110,1.0
-49.0,0.14575,110,110,1.0
-49.0,0.20297,110,110,1.0
-49.0,0.27349,110,110,1.0
-49.0,0.3587,110,110,1.0
-49.0,0.46,110,110,1.0
-49.0,0.57877,110,110,1.0
-49.0,0.71641,110,110,1.0
-49.0,0.87429,110,110,1.0
-49.0,1.05382,110,110,1.0
-42.0,-0.46,110,0,0.0
-42.0,-0.3587,110,0,0.0
-42.0,-0.27349,110,0,0.0
-42.0,-0.20297,110,0,0.0
-42.0,-0.14575,110,0,0.0
-42.0,-0.10044,110,0,0.0
-42.0,-0.06565,110,0,0.0
-42.0,-0.04,110,0,0.0
-42.0,0.04,110,109,0.990909090909091
-42.0,0.06565,110,109,0.990909090909091
-42.0,0.10044,110,110,1.0
-42.0,0.14575,110,110,1.0
-42.0,0.20297,110,110,1.0
-42.0,0.27349,110,110,1.0
-42.0,0.3587,110,110,1.0
-42.0,0.46,110,110,1.0
-42.0,0.57877,110,110,1.0
-42.0,0.71641,110,110,1.0
-42.0,0.87429,110,110,1.0
-42.0,1.05382,110,110,1.0
-35.0,-0.46,110,0,0.0
-35.0,-0.3587,110,0,0.0
-35.0,-0.27349,110,0,0.0
-35.0,-0.20297,110,0,0.0
-35.0,-0.14575,110,0,0.0
-35.0,-0.10044,110,0,0.0
-35.0,-0.06565,110,0,0.0
-35.0,-0.04,110,0,0.0
-35.0,0.04,110,104,0.9454545454545454
-35.0,0.06565,110,108,0.9818181818181818
-35.0,0.10044,110,110,1.0
-35.0,0.14575,110,110,1.0
-35.0,0.20297,110,110,1.0
-35.0,0.27349,110,110,1.0
-35.0,0.3587,110,110,1.0
-35.0,0.46,110,110,1.0
-35.0,0.57877,110,110,1.0
-35.0,0.71641,110,110,1.0
-35.0,0.87429,110,110,1.0
-35.0,1.05382,110,110,1.0
-28.0,-0.46,110,0,0.0
-28.0,-0.3587,110,0,0.0
-28.0,-0.27349,110,0,0.0
-28.0,-0.20297,110,0,0.0
-28.0,-0.14575,110,0,0.0
-28.0,-0.10044,110,0,0.0
-28.0,-0.06565,110,0,0.0
-28.0,-0.04,110,0,0.0
-28.0,0.04,110,90,0.8181818181818182
-28.0,0.06565,110,107,0.9727272727272728
-28.0,0.10044,110,108,0.9818181818181818
-28.0,0.14575,110,110,1.0
-28.0,0.20297,110,110,1.0
-28.0,0.27349,110,110,1.0
-28.0,0.3587,110,110,1.0
-28.0,0.46,110,110,1.0
-28.0,0.57877,110,110,1.0
-28.0,0.71641,110,110,1.0
-28.0,0.87429,110,110,1.0
-28.0,1.05382,110,110,1.0
-21.0,-0.46,110,0,0.0
-21.0,-0.3587,110,0,0.0
-21.0,-0.27349,110,0,0.0
-21.0,-0.20297,110,0,0.0
-21.0,-0.14575,110,0,0.0
-21.0,-0.10044,110,0,0.0
-21.0,-0.06565,110,0,0.0
-21.0,-0.04,110,0,0.0
-21.0,0.04,110,104,0.9454545454545454
-21.0,0.06565,110,78,0.7090909090909091
-21.0,0.10044,110,97,0.8818181818181818
-21.0,0.14575,110,103,0.9363636363636364
-21.0,0.20297,110,110,1.0
-21.0,0.27349,110,110,1.0
-21.0,0.3587,110,110,1.0
-21.0,0.46,110,110,1.0
-21.0,0.57877,110,110,1.0
-21.0,0.71641,110,110,1.0
-21.0,0.87429,110,110,1.0
-21.0,1.05382,110,110,1.0
-14.0,-0.46,110,0,0.0
-14.0,-0.3587,110,0,0.0
-14.0,-0.27349,110,0,0.0
-14.0,-0.20297,110,0,0.0
-14.0,-0.14575,110,0,0.0
-14.0,-0.10044,110,0,0.0
-14.0,-0.06565,110,0,0.0
-14.0,-0.04,110,0,0.0
-14.0,0.04,110,66,0.6
-14.0,0.06565,110,83,0.7545454545454545
-14.0,0.10044,110,98,0.8909090909090909
-14.0,0.14575,110,102,0.9272727272727272
-14.0,0.20297,110,110,1.0
