illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-25.2,0.0024,0.0433,0.0025,0.0022,True,
-21.6,0.0299,0.0625,0.0062,0.0078,True,
-18.0,0.0136,0.0503,0.0061,0.0062,True,
-14.4,0.0116,0.0363,0.003,0.0026,True,
-10.8,0.0032,0.0859,0.011,0.0134,True,
-7.2,0.0435,0.1029,0.012,0.0169,True,
-3.6,0.0282,0.0991,0.0079,0.0105,True,
0.0,-0.0397,0.002,0.0,0.0,True,
3.6,0.05,0.1246,0.0143,0.0208,True,
7.2,0.1092,0.0441,0.0083,0.0117,True,
10.8,-0.0022,0.1178,0.0154,0.0208,True,
14.4,0.024,0.1276,0.0201,0.0282,True,
18.0,0.034,0.0749,0.0078,0.0103,True,
21.6,0.0498,0.0941,0.0127,0.0183,True,
25.2,-0.0382,0.1388,0.013,0.0189,True,
