model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,VerticalHorizontal,-66.5,-0.24,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,-0.19772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,-0.15953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,-0.12544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,-0.09544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,-0.06953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,-0.04772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,-0.03,100,1,0.01,0.99,Left
gpt-5.2,VerticalHorizontal,-66.5,0.03,100,26,0.26,0.26,Left
gpt-5.2,VerticalHorizontal,-66.5,0.04772,100,82,0.82,0.82,Left
gpt-5.2,VerticalHorizontal,-66.5,0.06953,100,74,0.74,0.74,Left
gpt-5.2,VerticalHorizontal,-66.5,0.09544,100,68,0.68,0.68,Left
gpt-5.2,VerticalHorizontal,-66.5,0.12544,100,80,0.8,0.8,Left
gpt-5.2,VerticalHorizontal,-66.5,0.15953,100,80,0.8,0.8,Left
gpt-5.2,VerticalHorizontal,-66.5,0.19772,100,63,0.63,0.63,Left
gpt-5.2,VerticalHorizontal,-66.5,0.24,100,94,0.94,0.94,Left
gpt-5.2,VerticalHorizontal,-66.5,0.277,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,0.32,100,99,0.99,0.99,Left
gpt-5.2,VerticalHorizontal,-66.5,0.369,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,0.42,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,0.475,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,0.54,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,0.611,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-66.5,0.7,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,-0.24,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,-0.19772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,-0.15953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,-0.12544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,-0.09544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,-0.06953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,-0.04772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,-0.03,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.03,100,89,0.89,0.89,Left
gpt-5.2,VerticalHorizontal,-57.0,0.04772,100,99,0.99,0.99,Left
gpt-5.2,VerticalHorizontal,-57.0,0.06953,100,98,0.98,0.98,Left
gpt-5.2,VerticalHorizontal,-57.0,0.09544,100,95,0.95,0.95,Left
gpt-5.2,VerticalHorizontal,-57.0,0.12544,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.15953,100,98,0.98,0.98,Left
gpt-5.2,VerticalHorizontal,-57.0,0.19772,100,99,0.99,0.99,Left
gpt-5.2,VerticalHorizontal,-57.0,0.24,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.277,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.32,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.369,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.42,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.475,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.54,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.611,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-57.0,0.7,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,-0.24,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,-0.19772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,-0.15953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,-0.12544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,-0.09544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,-0.06953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,-0.04772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,-0.03,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.03,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.04772,100,97,0.97,0.97,Left
gpt-5.2,VerticalHorizontal,-47.5,0.06953,100,77,0.77,0.77,Left
gpt-5.2,VerticalHorizontal,-47.5,0.09544,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.12544,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.15953,100,97,0.97,0.97,Left
gpt-5.2,VerticalHorizontal,-47.5,0.19772,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.24,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.277,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.32,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.369,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.42,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.475,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.54,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.611,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-47.5,0.7,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,-0.24,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,-0.19772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,-0.15953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,-0.12544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,-0.09544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,-0.06953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,-0.04772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,-0.03,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.03,100,94,0.94,0.94,Left
gpt-5.2,VerticalHorizontal,-38.0,0.04772,100,90,0.9,0.9,Left
gpt-5.2,VerticalHorizontal,-38.0,0.06953,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.09544,100,64,0.64,0.64,Left
gpt-5.2,VerticalHorizontal,-38.0,0.12544,100,98,0.98,0.98,Left
gpt-5.2,VerticalHorizontal,-38.0,0.15953,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.19772,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.24,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.277,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.32,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.369,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.42,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.475,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.54,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.611,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-38.0,0.7,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,-0.24,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,-0.19772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,-0.15953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,-0.12544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,-0.09544,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,-0.06953,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,-0.04772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,-0.03,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.03,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.04772,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.06953,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.09544,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.12544,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.15953,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.19772,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.24,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.277,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.32,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.369,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.42,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.475,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.54,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.611,30,30,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-28.5,0.7,100,100,1.0,1.0,Left
gpt-5.2,VerticalHorizontal,-19.0,-0.24,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-19.0,-0.19772,100,0,0.0,1.0,Left
gpt-5.2,VerticalHorizontal,-19.0,-0.15953,100,0,0.0,1.0,Left
