illusion_strength,true_diff,n_trials,n_top,prop_top
-49.0,-0.46,20,0,0.0
-49.0,-0.3587,20,0,0.0
-49.0,-0.27349,20,0,0.0
-49.0,-0.20297,20,0,0.0
-49.0,-0.14575,20,0,0.0
-49.0,-0.10044,20,0,0.0
-49.0,-0.06565,20,0,0.0
-49.0,-0.04,20,0,0.0
-49.0,0.04,20,19,0.95
-49.0,0.06565,20,19,0.95
-49.0,0.10044,20,20,1.0
-49.0,0.14575,20,20,1.0
-49.0,0.20297,20,20,1.0
-49.0,0.27349,20,20,1.0
-49.0,0.3587,20,20,1.0
-49.0,0.46,20,20,1.0
-42.0,-0.46,20,0,0.0
-42.0,-0.3587,20,0,0.0
-42.0,-0.27349,20,0,0.0
-42.0,-0.20297,20,0,0.0
-42.0,-0.14575,20,0,0.0
-42.0,-0.10044,20,0,0.0
-42.0,-0.06565,20,0,0.0
-42.0,-0.04,20,0,0.0
-42.0,0.04,20,19,0.95
-42.0,0.06565,20,19,0.95
-42.0,0.10044,20,20,1.0
-42.0,0.14575,20,20,1.0
-42.0,0.20297,20,20,1.0
-42.0,0.27349,20,20,1.0
-42.0,0.3587,20,20,1.0
-42.0,0.46,20,20,1.0
-35.0,-0.46,20,0,0.0
-35.0,-0.3587,20,0,0.0
-35.0,-0.27349,20,0,0.0
-35.0,-0.20297,20,0,0.0
-35.0,-0.14575,20,0,0.0
-35.0,-0.10044,20,0,0.0
-35.0,-0.06565,20,0,0.0
-35.0,-0.04,20,0,0.0
-35.0,0.04,20,18,0.9
-35.0,0.06565,20,18,0.9
-35.0,0.10044,20,20,1.0
-35.0,0.14575,20,20,1.0
-35.0,0.20297,20,20,1.0
-35.0,0.27349,20,20,1.0
-35.0,0.3587,20,20,1.0
-35.0,0.46,20,20,1.0
-28.0,-0.46,20,0,0.0
-28.0,-0.3587,20,0,0.0
-28.0,-0.27349,20,0,0.0
-28.0,-0.20297,20,0,0.0
-28.0,-0.14575,20,0,0.0
-28.0,-0.10044,20,0,0.0
-28.0,-0.06565,20,0,0.0
-28.0,-0.04,20,0,0.0
-28.0,0.04,20,19,0.95
-28.0,0.06565,20,19,0.95
-28.0,0.10044,20,19,0.95
-28.0,0.14575,20,20,1.0
-28.0,0.20297,20,20,1.0
-28.0,0.27349,20,20,1.0
-28.0,0.3587,20,20,1.0
-28.0,0.46,20,20,1.0
-21.0,-0.46,20,0,0.0
-21.0,-0.3587,20,0,0.0
-21.0,-0.27349,20,0,0.0
-21.0,-0.20297,20,0,0.0
-21.0,-0.14575,20,0,0.0
-21.0,-0.10044,20,0,0.0
-21.0,-0.06565,20,0,0.0
-21.0,-0.04,20,0,0.0
-21.0,0.04,20,18,0.9
-21.0,0.06565,20,19,0.95
-21.0,0.10044,20,20,1.0
-21.0,0.14575,20,20,1.0
-21.0,0.20297,20,20,1.0
-21.0,0.27349,20,20,1.0
-21.0,0.3587,20,20,1.0
-21.0,0.46,20,20,1.0
-14.0,-0.46,20,0,0.0
-14.0,-0.3587,20,0,0.0
-14.0,-0.27349,20,0,0.0
-14.0,-0.20297,20,0,0.0
-14.0,-0.14575,20,0,0.0
-14.0,-0.10044,20,0,0.0
-14.0,-0.06565,20,0,0.0
-14.0,-0.04,20,0,0.0
-14.0,0.04,20,11,0.55
-14.0,0.06565,20,14,0.7
-14.0,0.10044,20,20,1.0
-14.0,0.14575,20,19,0.95
-14.0,0.20297,20,20,1.0
-14.0,0.27349,20,20,1.0
-14.0,0.3587,20,20,1.0
-14.0,0.46,20,20,1.0
-7.0,-0.46,20,0,0.0
-7.0,-0.3587,20,0,0.0
-7.0,-0.27349,20,0,0.0
-7.0,-0.20297,20,0,0.0
-7.0,-0.14575,20,0,0.0
-7.0,-0.10044,20,0,0.0
-7.0,-0.06565,20,0,0.0
-7.0,-0.04,20,0,0.0
-7.0,0.04,20,15,0.75
-7.0,0.06565,20,16,0.8
-7.0,0.10044,20,18,0.9
-7.0,0.14575,20,19,0.95
-7.0,0.20297,20,20,1.0
-7.0,0.27349,20,20,1.0
-7.0,0.3587,20,20,1.0
-7.0,0.46,20,20,1.0
0.0,-0.46,20,0,0.0
0.0,-0.3587,20,0,0.0
0.0,-0.27349,20,0,0.0
0.0,-0.20297,20,0,0.0
0.0,-0.14575,20,0,0.0
0.0,-0.10044,20,0,0.0
0.0,-0.06565,20,0,0.0
0.0,-0.04,20,0,0.0
0.0,0.04,20,20,1.0
0.0,0.06565,20,20,1.0
0.0,0.10044,20,19,0.95
0.0,0.14575,20,20,1.0
0.0,0.20297,20,20,1.0
0.0,0.27349,20,20,1.0
0.0,0.3587,20,20,1.0
0.0,0.46,20,20,1.0
7.0,-0.46,20,0,0.0
7.0,-0.3587,20,0,0.0
7.0,-0.27349,20,0,0.0
7.0,-0.20297,20,0,0.0
7.0,-0.14575,20,2,0.1
7.0,-0.10044,20,9,0.45
7.0,-0.06565,20,4,0.2
7.0,-0.04,20,18,0.9
7.0,0.04,20,1,0.05
7.0,0.06565,20,5,0.25
7.0,0.10044,20,4,0.2
7.0,0.14575,20,15,0.75
7.0,0.20297,20,17,0.85
7.0,0.27349,20,20,1.0
7.0,0.3587,20,20,1.0
7.0,0.46,20,20,1.0
14.0,-0.46,20,0,0.0
14.0,-0.3587,20,0,0.0
14.0,-0.27349,20,0,0.0
14.0,-0.20297,20,3,0.15
14.0,-0.14575,20,8,0.4
14.0,-0.10044,20,8,0.4
14.0,-0.06565,20,12,0.6
14.0,-0.04,20,12,0.6
14.0,0.04,20,0,0.0
14.0,0.06565,20,1,0.05
14.0,0.10044,20,1,0.05
14.0,0.14575,20,12,0.6
14.0,0.20297,20,17,0.85
14.0,0.27349,20,18,0.9
14.0,0.3587,20,20,1.0
14.0,0.46,20,20,1.0
21.0,-0.46,20,0,0.0
21.0,-0.3587,20,0,0.0
21.0,-0.27349,20,0,0.0
21.0,-0.20297,20,0,0.0
21.0,-0.14575,20,6,0.3
21.0,-0.10044,20,2,0.1
21.0,-0.06565,20,4,0.2
21.0,-0.04,20,9,0.45
21.0,0.04,20,0,0.0
21.0,0.06565,20,3,0.15
21.0,0.10044,20,3,0.15
21.0,0.14575,20,13,0.65
21.0,0.20297,20,11,0.55
21.0,0.27349,20,18,0.9
21.0,0.3587,20,20,1.0
21.0,0.46,20,20,1.0
28.0,-0.46,20,0,0.0
28.0,-0.3587,20,0,0.0
28.0,-0.27349,20,2,0.1
